product_id,product_name,evidence_id,commons_title,source_url,public_image_url,rights_status,license_url,import_status,rejection_reasons
doritos_nacho_cheese,Doritos Nacho Cheese,doritos_nacho_cheese_evidence_6,File:Doritos_bag.jpg,https://commons.wikimedia.org/wiki/File%3ADoritos_bag.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Doritos_bag.jpg,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,publishable,
coca_cola_classic,Coca-Cola Classic,coca_cola_classic_evidence_0,File:Old_coca_cola_cans_1952.jpg,https://commons.wikimedia.org/wiki/File%3AOld_coca_cola_cans_1952.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Old_coca_cola_cans_1952.jpg,Wikimedia Commons CC BY-SA 3.0 / Creative Commons Attribution-Share Alike 3.0,https://creativecommons.org/licenses/by-sa/3.0,publishable,
campbells_tomato_soup,Campbell's Condensed Tomato Soup,campbells_tomato_soup_evidence_1,"File:Campbell's_Condensed_Tomato_Soup,_1905.jpg",https://commons.wikimedia.org/wiki/File%3ACampbell%27s_Condensed_Tomato_Soup%2C_1905.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Campbell%27s_Condensed_Tomato_Soup%2C_1905.jpg,Wikimedia Commons No restrictions / No known copyright restrictions,https://www.flickr.com/commons/usage/,publishable,
hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,hersheys_milk_chocolate_bar__2000s__152__2,File:Hershey's_Milk_Chocolate_wrapper_(2002).jpg,https://commons.wikimedia.org/wiki/File%3AHershey%27s_Milk_Chocolate_wrapper_%282002%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Hershey%27s_Milk_Chocolate_wrapper_%282002%29.jpg,Wikimedia Commons Public domain,,publishable,
campbells_chicken_noodle_soup,Campbell's Chicken Noodle Soup,campbells_chicken_noodle_soup__earliest_verified_label__859__2,"File:Campbell's_Chicken_Noodle_Soup,_1910.jpg",https://commons.wikimedia.org/wiki/File%3ACampbell%27s_Chicken_Noodle_Soup%2C_1910.jpg,,Wikimedia Commons license metadata missing,,not_publishable,public_image_url_not_public_safe; rights_status_not_clear; missing_license_url; missing_attribution_source
campbells_chicken_noodle_soup,Campbell's Chicken Noodle Soup,campbells_chicken_noodle_soup__1980s_or_earlier__859__1,"File:Campbell's_Chicken_Noodle_Soup,_1910.jpg",https://commons.wikimedia.org/wiki/File%3ACampbell%27s_Chicken_Noodle_Soup%2C_1910.jpg,,Wikimedia Commons license metadata missing,,not_publishable,public_image_url_not_public_safe; rights_status_not_clear; missing_license_url; missing_attribution_source
campbells_chicken_noodle_soup,Campbell's Chicken Noodle Soup,campbells_chicken_noodle_soup__2010s__178__1,File:Campbell's_Chicken_Noodle_Soup_(16184220183).jpg,https://commons.wikimedia.org/wiki/File%3ACampbell%27s_Chicken_Noodle_Soup_%2816184220183%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Campbell%27s_Chicken_Noodle_Soup_%2816184220183%29.jpg,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,publishable,
corn_flakes,Kellogg's Corn Flakes,corn_flakes__2010s__149__1,File:Corn_flakes_boxes.jpg,https://commons.wikimedia.org/wiki/File%3ACorn_flakes_boxes.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Corn_flakes_boxes.jpg,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,publishable,
mountain_dew_original,Mountain Dew Original,mountain_dew_original__2000s__994__1,File:Glass_Mountain_Dew_Bottle_(22101626).jpg,https://commons.wikimedia.org/wiki/File%3AGlass_Mountain_Dew_Bottle_%2822101626%29.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/Glass_Mountain_Dew_Bottle_%2822101626%29.jpg,Wikimedia Commons CC BY 2.0 / Creative Commons Attribution 2.0,https://creativecommons.org/licenses/by/2.0,publishable,
hostess_cupcakes,Hostess CupCakes,hostess_cupcakes__2010s__970__1,File:Hostess_and_7-Eleven_Chocolate_Cupcakes_(18772520972).jpg,https://commons.wikimedia.org/wiki/File%3AHostess_and_7-Eleven_Chocolate_Cupcakes_%2818772520972%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Hostess_and_7-Eleven_Chocolate_Cupcakes_%2818772520972%29.jpg,Wikimedia Commons CC BY-SA 2.0 / Creative Commons Attribution-Share Alike 2.0,https://creativecommons.org/licenses/by-sa/2.0,publishable,
