global_capture_rank,product_capture_rank,priority_id,product_id,product_name,priority_tier,lineage_span_label,source_era_rank,vintage_label,version_id,evidence_id,source_domain,source_url,source_title,source_type,surface_id,surface_label,surface_rank,proof_lane,photo_priority,ocr_priority,ocr_gap_category,ocr_expected_surface,panel_acquisition_state,ocr_access_state,capture_path_field,capture_strategy,crop_target,capture_instruction,claim_gate,publication_image_policy,rights_review_status,image_map_keys,local_private_image_path,processed_private_image_path,panel_crop_note,primary_text_surface,support_text_surface,private_paths_supplied,ready_for_ocr,candidate_only,manual_verified
1,1,cwa_ingredient_priority_9a5f9dc22b6b,butterfinger_bar,Butterfinger Bar,dense_lineage_first,1930s-2009,1,1930s,cwa_capture_round_54bf4d9d9b8d,cwa_surface_bdb8731dc7e98b,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger - Ingredient panel,collector_archive_page,ingredient_panel,Ingredient panel,1,primary_ingredient_panel_photo,primary_ingredient_or_nutrition_photo,high,panel_capture_needed,ingredient_panel,private_crop_needed,private_crop_path_needed,private_ingredient_panel_crop_path,private_ingredient_panel_crop,Crop the ingredient statement with enough package context to preserve product/date cues.,"Capture the ingredient statement first, with enough wrapper context to preserve product and vintage cues.",blocked_until_private_readable_crop_ocr_correction_and_manual_verification,source_link_only_until_rights_review_clears_reuse,rights_review_needed,cwa_surface_bdb8731dc7e98b;butterfinger_bar:cwa_surface_bdb8731dc7e98b;cwa_capture_round_54bf4d9d9b8d:ingredient_panel;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#ingredient_panel,,,,1,0,0,0,1,0
2,2,cwa_ingredient_priority_757729084f6e,butterfinger_bar,Butterfinger Bar,dense_lineage_first,1930s-2009,1,1930s,cwa_capture_round_54bf4d9d9b8d,cwa_surface_b363dd0d60335c,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger - Nutrition panel,collector_archive_page,nutrition_panel,Nutrition panel,2,primary_nutrition_panel_photo,primary_ingredient_or_nutrition_photo,high,panel_capture_needed,nutrition_panel,private_crop_needed,private_crop_path_needed,private_nutrition_panel_crop_path,private_nutrition_panel_crop,Crop the nutrition panel and serving-size text if visible.,Capture the nutrition facts and serving-size area after the ingredient panel or when ingredients are absent.,blocked_until_private_readable_crop_ocr_correction_and_manual_verification,source_link_only_until_rights_review_clears_reuse,rights_review_needed,cwa_surface_b363dd0d60335c;butterfinger_bar:cwa_surface_b363dd0d60335c;cwa_capture_round_54bf4d9d9b8d:nutrition_panel;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#nutrition_panel,,,,1,0,0,0,1,0
3,3,cwa_ingredient_priority_1a328e91527f,butterfinger_bar,Butterfinger Bar,dense_lineage_first,1930s-2009,1,1930s,cwa_capture_round_54bf4d9d9b8d,cwa_surface_84d0eb71616be7,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger - Wrapper back or side text,collector_archive_page,wrapper_back_or_side,Wrapper back or side text,3,supporting_label_text_photo,supporting_label_text_photo,medium,readable_panel_photo_needed,package_back_side_text,private_crop_needed,private_crop_path_needed,private_wrapper_back_or_side_crop_path,private_back_or_side_text_crop,"Crop readable wrapper back/side text, prioritizing ingredients, nutrition, net weight, maker, or date cues.",Capture readable back/side wrapper text only after checking for ingredient and nutrition panels.,blocked_until_private_readable_crop_ocr_correction_and_manual_verification,source_link_only_until_rights_review_clears_reuse,rights_review_needed,cwa_surface_84d0eb71616be7;butterfinger_bar:cwa_surface_84d0eb71616be7;cwa_capture_round_54bf4d9d9b8d:wrapper_back_or_side;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#wrapper_back_or_side,,,,0,1,0,0,1,0
4,4,cwa_ingredient_priority_8755480641f4,butterfinger_bar,Butterfinger Bar,dense_lineage_first,1930s-2009,1,1930s,cwa_capture_round_54bf4d9d9b8d,cwa_surface_a683962b007a91,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger - Net weight,collector_archive_page,net_weight,Net weight,4,supporting_label_text_photo,supporting_label_text_photo,medium,readable_panel_photo_needed,net_weight,private_crop_needed,private_crop_path_needed,private_net_weight_crop_path,private_net_weight_crop,Crop net weight and package-size text.,Capture net weight as package-size evidence for later normalization.,blocked_until_private_readable_crop_ocr_correction_and_manual_verification,source_link_only_until_rights_review_clears_reuse,rights_review_needed,cwa_surface_a683962b007a91;butterfinger_bar:cwa_surface_a683962b007a91;cwa_capture_round_54bf4d9d9b8d:net_weight;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#net_weight,,,,0,1,0,0,1,0
5,5,cwa_ingredient_priority_4d49520551be,butterfinger_bar,Butterfinger Bar,dense_lineage_first,1930s-2009,1,1930s,cwa_capture_round_54bf4d9d9b8d,cwa_surface_4ca2fc76512393,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger - Maker or date cue,collector_archive_page,maker_or_date,Maker or date cue,5,supporting_label_text_photo,supporting_label_text_photo,medium,readable_panel_photo_needed,maker_distributor_or_date_cue,private_crop_needed,private_crop_path_needed,private_maker_or_date_crop_path,private_maker_or_date_crop,"Crop maker/distributor, copyright, lot, or date cue text.","Capture maker, distributor, copyright, lot, or date cues for identity and timeline confidence.",blocked_until_private_readable_crop_ocr_correction_and_manual_verification,source_link_only_until_rights_review_clears_reuse,rights_review_needed,cwa_surface_4ca2fc76512393;butterfinger_bar:cwa_surface_4ca2fc76512393;cwa_capture_round_54bf4d9d9b8d:maker_or_date;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#maker_or_date,,,,0,1,0,0,1,0
6,6,cwa_ingredient_priority_3b33b60a80e0,butterfinger_bar,Butterfinger Bar,dense_lineage_first,1930s-2009,2,1936,cwa_capture_round_7f9a71c59f94,cwa_surface_20807ca6246abf,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger - Ingredient panel,collector_archive_page,ingredient_panel,Ingredient panel,1,primary_ingredient_panel_photo,primary_ingredient_or_nutrition_photo,high,panel_capture_needed,ingredient_panel,private_crop_needed,private_crop_path_needed,private_ingredient_panel_crop_path,private_ingredient_panel_crop,Crop the ingredient statement with enough package context to preserve product/date cues.,"Capture the ingredient statement first, with enough wrapper context to preserve product and vintage cues.",blocked_until_private_readable_crop_ocr_correction_and_manual_verification,source_link_only_until_rights_review_clears_reuse,rights_review_needed,cwa_surface_20807ca6246abf;butterfinger_bar:cwa_surface_20807ca6246abf;cwa_capture_round_7f9a71c59f94:ingredient_panel;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#ingredient_panel,,,,1,0,0,0,1,0
7,7,cwa_ingredient_priority_bce5bbf4215f,butterfinger_bar,Butterfinger Bar,dense_lineage_first,1930s-2009,2,1936,cwa_capture_round_7f9a71c59f94,cwa_surface_3e9fb8bd823a85,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger - Nutrition panel,collector_archive_page,nutrition_panel,Nutrition panel,2,primary_nutrition_panel_photo,primary_ingredient_or_nutrition_photo,high,panel_capture_needed,nutrition_panel,private_crop_needed,private_crop_path_needed,private_nutrition_panel_crop_path,private_nutrition_panel_crop,Crop the nutrition panel and serving-size text if visible.,Capture the nutrition facts and serving-size area after the ingredient panel or when ingredients are absent.,blocked_until_private_readable_crop_ocr_correction_and_manual_verification,source_link_only_until_rights_review_clears_reuse,rights_review_needed,cwa_surface_3e9fb8bd823a85;butterfinger_bar:cwa_surface_3e9fb8bd823a85;cwa_capture_round_7f9a71c59f94:nutrition_panel;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#nutrition_panel,,,,1,0,0,0,1,0
8,8,cwa_ingredient_priority_b135059c20dc,butterfinger_bar,Butterfinger Bar,dense_lineage_first,1930s-2009,2,1936,cwa_capture_round_7f9a71c59f94,cwa_surface_b6b7bb8b5a98d5,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger - Wrapper back or side text,collector_archive_page,wrapper_back_or_side,Wrapper back or side text,3,supporting_label_text_photo,supporting_label_text_photo,medium,readable_panel_photo_needed,package_back_side_text,private_crop_needed,private_crop_path_needed,private_wrapper_back_or_side_crop_path,private_back_or_side_text_crop,"Crop readable wrapper back/side text, prioritizing ingredients, nutrition, net weight, maker, or date cues.",Capture readable back/side wrapper text only after checking for ingredient and nutrition panels.,blocked_until_private_readable_crop_ocr_correction_and_manual_verification,source_link_only_until_rights_review_clears_reuse,rights_review_needed,cwa_surface_b6b7bb8b5a98d5;butterfinger_bar:cwa_surface_b6b7bb8b5a98d5;cwa_capture_round_7f9a71c59f94:wrapper_back_or_side;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#wrapper_back_or_side,,,,0,1,0,0,1,0
9,9,cwa_ingredient_priority_4bfe1d28edf0,butterfinger_bar,Butterfinger Bar,dense_lineage_first,1930s-2009,2,1936,cwa_capture_round_7f9a71c59f94,cwa_surface_dca02008554124,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger - Net weight,collector_archive_page,net_weight,Net weight,4,supporting_label_text_photo,supporting_label_text_photo,medium,readable_panel_photo_needed,net_weight,private_crop_needed,private_crop_path_needed,private_net_weight_crop_path,private_net_weight_crop,Crop net weight and package-size text.,Capture net weight as package-size evidence for later normalization.,blocked_until_private_readable_crop_ocr_correction_and_manual_verification,source_link_only_until_rights_review_clears_reuse,rights_review_needed,cwa_surface_dca02008554124;butterfinger_bar:cwa_surface_dca02008554124;cwa_capture_round_7f9a71c59f94:net_weight;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#net_weight,,,,0,1,0,0,1,0
10,10,cwa_ingredient_priority_1138759d0513,butterfinger_bar,Butterfinger Bar,dense_lineage_first,1930s-2009,2,1936,cwa_capture_round_7f9a71c59f94,cwa_surface_c1f792333d347e,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger - Maker or date cue,collector_archive_page,maker_or_date,Maker or date cue,5,supporting_label_text_photo,supporting_label_text_photo,medium,readable_panel_photo_needed,maker_distributor_or_date_cue,private_crop_needed,private_crop_path_needed,private_maker_or_date_crop_path,private_maker_or_date_crop,"Crop maker/distributor, copyright, lot, or date cue text.","Capture maker, distributor, copyright, lot, or date cues for identity and timeline confidence.",blocked_until_private_readable_crop_ocr_correction_and_manual_verification,source_link_only_until_rights_review_clears_reuse,rights_review_needed,cwa_surface_c1f792333d347e;butterfinger_bar:cwa_surface_c1f792333d347e;cwa_capture_round_7f9a71c59f94:maker_or_date;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#maker_or_date,,,,0,1,0,0,1,0
