run_id,priority_id,global_capture_rank,product_capture_rank,evidence_id,product_id,product_name,vintage_label,source_domain,source_url,source_type,source_title,surface_id,surface_label,ocr_gap_category,ocr_priority,capture_strategy,crop_target,ocr_expected_surface,image_map_keys,local_private_image_path,processed_private_image_path,panel_crop_note,rights_review_status,publication_image_policy,candidate_only,manual_verified
cwa-ingredient-priority-v1,cwa_ingredient_priority_9a5f9dc22b6b,1,1,cwa_surface_bdb8731dc7e98b,butterfinger_bar,Butterfinger Bar,1930s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,collector_archive_page,1930s Butterfinger - Ingredient panel,ingredient_panel,Ingredient panel,panel_capture_needed,high,private_ingredient_panel_crop,Crop the ingredient statement with enough package context to preserve product/date cues.,ingredient_panel,cwa_surface_bdb8731dc7e98b;butterfinger_bar:cwa_surface_bdb8731dc7e98b;cwa_capture_round_54bf4d9d9b8d:ingredient_panel;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#ingredient_panel,,,,rights_review_needed,source_link_only_until_rights_review_clears_reuse,1,0
cwa-ingredient-priority-v1,cwa_ingredient_priority_757729084f6e,2,2,cwa_surface_b363dd0d60335c,butterfinger_bar,Butterfinger Bar,1930s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,collector_archive_page,1930s Butterfinger - Nutrition panel,nutrition_panel,Nutrition panel,panel_capture_needed,high,private_nutrition_panel_crop,Crop the nutrition panel and serving-size text if visible.,nutrition_panel,cwa_surface_b363dd0d60335c;butterfinger_bar:cwa_surface_b363dd0d60335c;cwa_capture_round_54bf4d9d9b8d:nutrition_panel;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#nutrition_panel,,,,rights_review_needed,source_link_only_until_rights_review_clears_reuse,1,0
cwa-ingredient-priority-v1,cwa_ingredient_priority_1a328e91527f,3,3,cwa_surface_84d0eb71616be7,butterfinger_bar,Butterfinger Bar,1930s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,collector_archive_page,1930s Butterfinger - Wrapper back or side text,wrapper_back_or_side,Wrapper back or side text,readable_panel_photo_needed,medium,private_back_or_side_text_crop,"Crop readable wrapper back/side text, prioritizing ingredients, nutrition, net weight, maker, or date cues.",package_back_side_text,cwa_surface_84d0eb71616be7;butterfinger_bar:cwa_surface_84d0eb71616be7;cwa_capture_round_54bf4d9d9b8d:wrapper_back_or_side;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#wrapper_back_or_side,,,,rights_review_needed,source_link_only_until_rights_review_clears_reuse,1,0
cwa-ingredient-priority-v1,cwa_ingredient_priority_8755480641f4,4,4,cwa_surface_a683962b007a91,butterfinger_bar,Butterfinger Bar,1930s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,collector_archive_page,1930s Butterfinger - Net weight,net_weight,Net weight,readable_panel_photo_needed,medium,private_net_weight_crop,Crop net weight and package-size text.,net_weight,cwa_surface_a683962b007a91;butterfinger_bar:cwa_surface_a683962b007a91;cwa_capture_round_54bf4d9d9b8d:net_weight;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#net_weight,,,,rights_review_needed,source_link_only_until_rights_review_clears_reuse,1,0
cwa-ingredient-priority-v1,cwa_ingredient_priority_4d49520551be,5,5,cwa_surface_4ca2fc76512393,butterfinger_bar,Butterfinger Bar,1930s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,collector_archive_page,1930s Butterfinger - Maker or date cue,maker_or_date,Maker or date cue,readable_panel_photo_needed,medium,private_maker_or_date_crop,"Crop maker/distributor, copyright, lot, or date cue text.",maker_distributor_or_date_cue,cwa_surface_4ca2fc76512393;butterfinger_bar:cwa_surface_4ca2fc76512393;cwa_capture_round_54bf4d9d9b8d:maker_or_date;https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/#maker_or_date,,,,rights_review_needed,source_link_only_until_rights_review_clears_reuse,1,0
cwa-ingredient-priority-v1,cwa_ingredient_priority_3b33b60a80e0,6,6,cwa_surface_20807ca6246abf,butterfinger_bar,Butterfinger Bar,1936,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,collector_archive_page,1936 Butterfinger - Ingredient panel,ingredient_panel,Ingredient panel,panel_capture_needed,high,private_ingredient_panel_crop,Crop the ingredient statement with enough package context to preserve product/date cues.,ingredient_panel,cwa_surface_20807ca6246abf;butterfinger_bar:cwa_surface_20807ca6246abf;cwa_capture_round_7f9a71c59f94:ingredient_panel;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#ingredient_panel,,,,rights_review_needed,source_link_only_until_rights_review_clears_reuse,1,0
cwa-ingredient-priority-v1,cwa_ingredient_priority_bce5bbf4215f,7,7,cwa_surface_3e9fb8bd823a85,butterfinger_bar,Butterfinger Bar,1936,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,collector_archive_page,1936 Butterfinger - Nutrition panel,nutrition_panel,Nutrition panel,panel_capture_needed,high,private_nutrition_panel_crop,Crop the nutrition panel and serving-size text if visible.,nutrition_panel,cwa_surface_3e9fb8bd823a85;butterfinger_bar:cwa_surface_3e9fb8bd823a85;cwa_capture_round_7f9a71c59f94:nutrition_panel;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#nutrition_panel,,,,rights_review_needed,source_link_only_until_rights_review_clears_reuse,1,0
cwa-ingredient-priority-v1,cwa_ingredient_priority_b135059c20dc,8,8,cwa_surface_b6b7bb8b5a98d5,butterfinger_bar,Butterfinger Bar,1936,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,collector_archive_page,1936 Butterfinger - Wrapper back or side text,wrapper_back_or_side,Wrapper back or side text,readable_panel_photo_needed,medium,private_back_or_side_text_crop,"Crop readable wrapper back/side text, prioritizing ingredients, nutrition, net weight, maker, or date cues.",package_back_side_text,cwa_surface_b6b7bb8b5a98d5;butterfinger_bar:cwa_surface_b6b7bb8b5a98d5;cwa_capture_round_7f9a71c59f94:wrapper_back_or_side;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#wrapper_back_or_side,,,,rights_review_needed,source_link_only_until_rights_review_clears_reuse,1,0
cwa-ingredient-priority-v1,cwa_ingredient_priority_4bfe1d28edf0,9,9,cwa_surface_dca02008554124,butterfinger_bar,Butterfinger Bar,1936,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,collector_archive_page,1936 Butterfinger - Net weight,net_weight,Net weight,readable_panel_photo_needed,medium,private_net_weight_crop,Crop net weight and package-size text.,net_weight,cwa_surface_dca02008554124;butterfinger_bar:cwa_surface_dca02008554124;cwa_capture_round_7f9a71c59f94:net_weight;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#net_weight,,,,rights_review_needed,source_link_only_until_rights_review_clears_reuse,1,0
cwa-ingredient-priority-v1,cwa_ingredient_priority_1138759d0513,10,10,cwa_surface_c1f792333d347e,butterfinger_bar,Butterfinger Bar,1936,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,collector_archive_page,1936 Butterfinger - Maker or date cue,maker_or_date,Maker or date cue,readable_panel_photo_needed,medium,private_maker_or_date_crop,"Crop maker/distributor, copyright, lot, or date cue text.",maker_distributor_or_date_cue,cwa_surface_c1f792333d347e;butterfinger_bar:cwa_surface_c1f792333d347e;cwa_capture_round_7f9a71c59f94:maker_or_date;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/#maker_or_date,,,,rights_review_needed,source_link_only_until_rights_review_clears_reuse,1,0
