product_id,product_name,priority_tier,reviewer_priority_score,item_page_count,collection_item_pages,existing_item_pages,source_hunt_gap_count,direct_image_reference_count,exact_year_count,decade_count,year_or_decade_markers,lineage_span_label,panel_review_rows,panel_review_not_started,readable_for_ocr,manual_verified_labels,ingredient_claim_status,image_publication_policy,source_urls,first_item_titles,next_action
butterfinger_bar,Butterfinger Bar,dense_lineage_first,188,8,8,0,0,8,6,6,1930s;1936;1950;1964;1975;1980s;2002;2009,1930s-2009,8,8,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/;https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/;https://www.candywrapperarchive.com/candy-collector/1950-butterfinger-2/;https://www.candywrapperarchive.com/candy-collector/1964-butterfinger/;https://www.candywrapperarchive.com/candy-collector/1975-butterfinger/;https://www.candywrapperarchive.com/candy-collector/1980s-butterfinger/;https://www.candywrapperarchive.com/candy-collector/2002-butterfinger/;https://www.candywrapperarchive.com/candy-collector/2009-butterfinger/,1930s Butterfinger;1936 Butterfinger;1950 Butterfinger;1964 Butterfinger;1975 Butterfinger,"Open the item pages, privately crop wrapper backs/sides first, answer panel-readability fields, then route only readable text surfaces to OCR."
reeses_peanut_butter_cups,Reese's Peanut Butter Cups,dense_lineage_first,165,7,7,0,0,7,4,5,1940s;1970s;1980s;1991;2002;2003;2005,1940s-2005,7,7,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,https://www.candywrapperarchive.com/candy-collector/1940s-reeses-bag/;https://www.candywrapperarchive.com/candy-collector/1970s-reeses/;https://www.candywrapperarchive.com/candy-collector/1980s-reeses/;https://www.candywrapperarchive.com/candy-collector/1991-reeses/;https://www.candywrapperarchive.com/candy-collector/2002-reeses/;https://www.candywrapperarchive.com/candy-collector/2003-reeses/;https://www.candywrapperarchive.com/candy-collector/2005-reeses/,1940s Reeses Bag;1970s Reeses;1980s Reeses;1991 Reeses;2002 Reeses,"Open the item pages, privately crop wrapper backs/sides first, answer panel-readability fields, then route only readable text surfaces to OCR."
hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,dense_lineage_first,158,6,6,0,0,6,3,6,1908;1910;1930s;1940;1950s;1960s,1908-1960s,6,6,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,https://www.candywrapperarchive.com/candy-collector/1908-hershey-wrapper/;https://www.candywrapperarchive.com/candy-collector/1910-hershey/;https://www.candywrapperarchive.com/candy-collector/1930s-hershey/;https://www.candywrapperarchive.com/candy-collector/1940-hershey/;https://www.candywrapperarchive.com/candy-collector/1950s-hershey/;https://www.candywrapperarchive.com/candy-collector/1960s-hershey/,1908 Hershey;1910 Hershey;1930s Hershey;1940 Hershey;1950s Hershey,"Open the item pages, privately crop wrapper backs/sides first, answer panel-readability fields, then route only readable text surfaces to OCR."
snickers_bar,Snickers Bar,dense_lineage_first,158,6,6,0,0,6,4,6,1940s;1939;1950s;1983;1990;2002,1939-2002,6,6,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,https://www.candywrapperarchive.com/candy-collector/1940s-snickers-2/;https://www.candywrapperarchive.com/candy-collector/1940s-snickers/;https://www.candywrapperarchive.com/candy-collector/1950s-snickers/;https://www.candywrapperarchive.com/candy-collector/1983-snickers/;https://www.candywrapperarchive.com/candy-collector/1990-snickers/;https://www.candywrapperarchive.com/candy-collector/2002-snickers/,1940s Snickers;1939 Snickers;1950s Snickers;1983 Snickers;1990 Snickers,"Open the item pages, privately crop wrapper backs/sides first, answer panel-readability fields, then route only readable text surfaces to OCR."
kit_kat_bar,Kit Kat Bar,multi_era_lineage,124,6,6,0,0,6,4,3,1960s;1970s;2000;2002;2006;2007,1960s-2007,6,6,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,https://www.candywrapperarchive.com/candy-collector/1960s-kit-kat/;https://www.candywrapperarchive.com/candy-collector/1970s-kit-kat/;https://www.candywrapperarchive.com/candy-collector/2000-kit-kat/;https://www.candywrapperarchive.com/candy-collector/2002-kit-kat/;https://www.candywrapperarchive.com/candy-collector/2006-kit-kat/;https://www.candywrapperarchive.com/candy-collector/2007-kit-kat/,1960s Kit Kat;1970s Kit Kat;2000 Kit Kat;2002 Kit Kat;2006 Kit Kat,"Open the item pages, privately crop wrapper backs/sides first, answer panel-readability fields, then route only readable text surfaces to OCR."
milky_way_bar,Milky Way Bar,multi_era_lineage,104,4,4,0,0,4,2,3,1939;1940s;1950s;1958,1939-1958,4,4,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,https://www.candywrapperarchive.com/candy-collector/1939-milky-way/;https://www.candywrapperarchive.com/candy-collector/1940s-milky-way/;https://www.candywrapperarchive.com/candy-collector/1950s-milky-way-2/;https://www.candywrapperarchive.com/candy-collector/1958-milky-way/,1939 Milky Way;1940s Milky Way;1950s Milky Way;1958 Milky Way,"Open the item pages, privately crop wrapper backs/sides first, answer panel-readability fields, then route only readable text surfaces to OCR."
mms_milk_chocolate,M&M's Milk Chocolate Candies,multi_era_lineage,101,5,5,0,0,5,2,2,1970s;1997;1998,1970s-1998,5,5,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,https://www.candywrapperarchive.com/candy-collector/1970s-mms/;https://www.candywrapperarchive.com/candy-collector/1997-mm/;https://www.candywrapperarchive.com/candy-collector/1997-mm-2/;https://www.candywrapperarchive.com/candy-collector/1998-mm-2/;https://www.candywrapperarchive.com/candy-collector/1998-mm/,1970s M&Ms;1997 M&M;1997 M&M;1998 M&M;1998 M&M,"Open the item pages, privately crop wrapper backs/sides first, answer panel-readability fields, then route only readable text surfaces to OCR."
twix_bar,Twix Bar,multi_era_lineage,83,5,5,0,0,5,5,1,2002;2003;2004;2006;2009,2002-2009,5,5,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,https://www.candywrapperarchive.com/candy-collector/2002-twix/;https://www.candywrapperarchive.com/candy-collector/2003-twix/;https://www.candywrapperarchive.com/candy-collector/2004-twix/;https://www.candywrapperarchive.com/candy-collector/2006-twix/;https://www.candywrapperarchive.com/candy-collector/2009-twix/,2002 Twix;2003 Twix;2004 Twix;2006 Twix;2009 Twix,"Open the item pages, privately crop wrapper backs/sides first, answer panel-readability fields, then route only readable text surfaces to OCR."
tootsie_roll,Tootsie Roll,promising_lineage,66,2,0,2,0,2,0,2,1940s;1960s,1940s-1960s,2,2,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,https://www.candywrapperarchive.com/candy-collector/1940s-tootsie-roll/;https://www.candywrapperarchive.com/candy-collector/1960s-tootsie-roll-2/,1940s Tootsie Roll;1960s Tootsie Roll,"Open the item pages, privately crop wrapper backs/sides first, answer panel-readability fields, then route only readable text surfaces to OCR."
skittles_original,Skittles Original,single_lead_or_gap,0,0,0,0,1,0,0,0,,date review,0,0,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,,,Attach item-level Candy Wrapper Archive pages or equivalent source-attributable package photos before capture.
starburst_original,Starburst Original,single_lead_or_gap,0,0,0,0,1,0,0,0,,date review,0,0,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,,,Attach item-level Candy Wrapper Archive pages or equivalent source-attributable package photos before capture.
twizzlers_strawberry,Twizzlers Strawberry Twists,single_lead_or_gap,0,0,0,0,1,0,0,0,,date review,0,0,0,0,blocked_pending_readable_panel_review,source_link_only_no_public_image,,,Attach item-level Candy Wrapper Archive pages or equivalent source-attributable package photos before capture.
