run_id,packet_id,packet_rank,product_id,product_name,vintage_label,vintage_bucket,source_domain,source_url,source_title,panel_gap_status,proof_lane,existing_source_role,existing_image_candidate_count,explicit_panel_signal_candidates,wrapper_context_candidates,low_signal_candidates,missing_primary_surfaces,missing_support_surfaces,preferred_source_types,source_hunt_queries,grok_research_packet,review_sequence,priority,next_action,candidate_only,manual_verified
cwa-panel-gap-source-hunt-v1,cwa_ingredient_packet_84a4b9dcab7f9f,1,butterfinger_bar,Butterfinger Bar,1930s,1930s,candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,1930s Butterfinger Bar source page,lineage_photo_only_back_panel_hunt_needed,ingredient_panel_source_hunt,dated_wrapper_lineage_context,7,0,5,2,ingredient_panel;nutrition_panel,net_weight;manufacturer_or_distributor;serving_size;date_or_lot_cue,back_panel_photo;side_panel_photo;auction_listing_photo;collector_listing_photo;brand_archive;retailer_label;archive_capture,"""1930s Butterfinger Bar"" ingredients wrapper back panel; ""1930s Butterfinger Bar"" nutrition facts wrapper; ""1930s Butterfinger Bar"" candy wrapper back; ""1930s Butterfinger Bar"" ingredients label; ""Butterfinger Bar"" 1930s ""net wt"" wrapper","Research assist only: find source-attributable Butterfinger Bar 1930s ingredient, nutrition, or back-panel photo leads. Treat CWA as dated wrapper context only; return source URLs and confidence warnings, not verified claims.",1_private_visual_review_existing_cwa;2_back_panel_source_hunt;3_private_crop;4_native_ocr;5_corrected_transcription;6_manual_verification,92,"Use the CWA wrapper photo as dated product context, then hunt a readable back/side ingredient or nutrition panel for the same product and vintage.",1,0
cwa-panel-gap-source-hunt-v1,cwa_ingredient_packet_c1cab625704bfc,2,butterfinger_bar,Butterfinger Bar,1936,1930s,candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1936-butterfinger/,1936 Butterfinger Bar source page,lineage_photo_only_back_panel_hunt_needed,ingredient_panel_source_hunt,dated_wrapper_lineage_context,8,0,5,3,ingredient_panel;nutrition_panel,net_weight;manufacturer_or_distributor;serving_size;date_or_lot_cue,back_panel_photo;side_panel_photo;auction_listing_photo;collector_listing_photo;brand_archive;retailer_label;archive_capture,"""1936 Butterfinger Bar"" ingredients wrapper back panel; ""1936 Butterfinger Bar"" nutrition facts wrapper; ""1936 Butterfinger Bar"" candy wrapper back; ""1930s Butterfinger Bar"" ingredients label; ""Butterfinger Bar"" 1936 ""net wt"" wrapper","Research assist only: find source-attributable Butterfinger Bar 1936 ingredient, nutrition, or back-panel photo leads. Treat CWA as dated wrapper context only; return source URLs and confidence warnings, not verified claims.",1_private_visual_review_existing_cwa;2_back_panel_source_hunt;3_private_crop;4_native_ocr;5_corrected_transcription;6_manual_verification,92,"Use the CWA wrapper photo as dated product context, then hunt a readable back/side ingredient or nutrition panel for the same product and vintage.",1,0
cwa-panel-gap-source-hunt-v1,cwa_ingredient_packet_72f4c60dcc3f7d,3,butterfinger_bar,Butterfinger Bar,1950,1950s,candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1950-butterfinger-2/,1950 Butterfinger Bar source page,lineage_photo_only_back_panel_hunt_needed,ingredient_panel_source_hunt,dated_wrapper_lineage_context,7,0,5,2,ingredient_panel;nutrition_panel,net_weight;manufacturer_or_distributor;serving_size;date_or_lot_cue,back_panel_photo;side_panel_photo;auction_listing_photo;collector_listing_photo;brand_archive;retailer_label;archive_capture,"""1950 Butterfinger Bar"" ingredients wrapper back panel; ""1950 Butterfinger Bar"" nutrition facts wrapper; ""1950 Butterfinger Bar"" candy wrapper back; ""1950s Butterfinger Bar"" ingredients label; ""Butterfinger Bar"" 1950 ""net wt"" wrapper","Research assist only: find source-attributable Butterfinger Bar 1950 ingredient, nutrition, or back-panel photo leads. Treat CWA as dated wrapper context only; return source URLs and confidence warnings, not verified claims.",1_private_visual_review_existing_cwa;2_back_panel_source_hunt;3_private_crop;4_native_ocr;5_corrected_transcription;6_manual_verification,92,"Use the CWA wrapper photo as dated product context, then hunt a readable back/side ingredient or nutrition panel for the same product and vintage.",1,0
cwa-panel-gap-source-hunt-v1,cwa_ingredient_packet_f221e653ba688a,4,butterfinger_bar,Butterfinger Bar,1964,1960s,candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1964-butterfinger/,1964 Butterfinger Bar source page,lineage_photo_only_back_panel_hunt_needed,ingredient_panel_source_hunt,dated_wrapper_lineage_context,8,0,5,3,ingredient_panel;nutrition_panel,net_weight;manufacturer_or_distributor;serving_size;date_or_lot_cue,back_panel_photo;side_panel_photo;auction_listing_photo;collector_listing_photo;brand_archive;retailer_label;archive_capture,"""1964 Butterfinger Bar"" ingredients wrapper back panel; ""1964 Butterfinger Bar"" nutrition facts wrapper; ""1964 Butterfinger Bar"" candy wrapper back; ""1960s Butterfinger Bar"" ingredients label; ""Butterfinger Bar"" 1964 ""net wt"" wrapper","Research assist only: find source-attributable Butterfinger Bar 1964 ingredient, nutrition, or back-panel photo leads. Treat CWA as dated wrapper context only; return source URLs and confidence warnings, not verified claims.",1_private_visual_review_existing_cwa;2_back_panel_source_hunt;3_private_crop;4_native_ocr;5_corrected_transcription;6_manual_verification,92,"Use the CWA wrapper photo as dated product context, then hunt a readable back/side ingredient or nutrition panel for the same product and vintage.",1,0
cwa-panel-gap-source-hunt-v1,cwa_ingredient_packet_fd81bc6a933d6c,5,butterfinger_bar,Butterfinger Bar,1975,1970s,candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1975-butterfinger/,1975 Butterfinger Bar source page,lineage_photo_only_back_panel_hunt_needed,ingredient_panel_source_hunt,dated_wrapper_lineage_context,7,0,5,2,ingredient_panel;nutrition_panel,net_weight;manufacturer_or_distributor;serving_size;date_or_lot_cue,back_panel_photo;side_panel_photo;auction_listing_photo;collector_listing_photo;brand_archive;retailer_label;archive_capture,"""1975 Butterfinger Bar"" ingredients wrapper back panel; ""1975 Butterfinger Bar"" nutrition facts wrapper; ""1975 Butterfinger Bar"" candy wrapper back; ""1970s Butterfinger Bar"" ingredients label; ""Butterfinger Bar"" 1975 ""net wt"" wrapper","Research assist only: find source-attributable Butterfinger Bar 1975 ingredient, nutrition, or back-panel photo leads. Treat CWA as dated wrapper context only; return source URLs and confidence warnings, not verified claims.",1_private_visual_review_existing_cwa;2_back_panel_source_hunt;3_private_crop;4_native_ocr;5_corrected_transcription;6_manual_verification,92,"Use the CWA wrapper photo as dated product context, then hunt a readable back/side ingredient or nutrition panel for the same product and vintage.",1,0
cwa-panel-gap-source-hunt-v1,cwa_ingredient_packet_4096b6dfdd1f55,6,butterfinger_bar,Butterfinger Bar,1980s,1980s,candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1980s-butterfinger/,1980s Butterfinger Bar source page,lineage_photo_only_back_panel_hunt_needed,ingredient_panel_source_hunt,dated_wrapper_lineage_context,7,0,5,2,ingredient_panel;nutrition_panel,net_weight;manufacturer_or_distributor;serving_size;date_or_lot_cue,back_panel_photo;side_panel_photo;auction_listing_photo;collector_listing_photo;brand_archive;retailer_label;archive_capture,"""1980s Butterfinger Bar"" ingredients wrapper back panel; ""1980s Butterfinger Bar"" nutrition facts wrapper; ""1980s Butterfinger Bar"" candy wrapper back; ""1980s Butterfinger Bar"" ingredients label; ""Butterfinger Bar"" 1980s ""net wt"" wrapper","Research assist only: find source-attributable Butterfinger Bar 1980s ingredient, nutrition, or back-panel photo leads. Treat CWA as dated wrapper context only; return source URLs and confidence warnings, not verified claims.",1_private_visual_review_existing_cwa;2_back_panel_source_hunt;3_private_crop;4_native_ocr;5_corrected_transcription;6_manual_verification,92,"Use the CWA wrapper photo as dated product context, then hunt a readable back/side ingredient or nutrition panel for the same product and vintage.",1,0
cwa-panel-gap-source-hunt-v1,cwa_ingredient_packet_caa6d23e9fde06,9,reeses_peanut_butter_cups,Reese's Peanut Butter Cups,1940s,1940s,candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1940s-reeses-bag/,1940s Reese's Peanut Butter Cups source page,lineage_photo_only_back_panel_hunt_needed,ingredient_panel_source_hunt,dated_wrapper_lineage_context,7,0,1,6,ingredient_panel;nutrition_panel,net_weight;manufacturer_or_distributor;serving_size;date_or_lot_cue,back_panel_photo;side_panel_photo;auction_listing_photo;collector_listing_photo;brand_archive;retailer_label;archive_capture,"""1940s Reese's Peanut Butter Cups"" ingredients wrapper back panel; ""1940s Reese's Peanut Butter Cups"" nutrition facts wrapper; ""1940s Reese's Peanut Butter Cups"" candy wrapper back; ""1940s Reese's Peanut Butter Cups"" ingredients label; ""Reese's Peanut Butter Cups"" 1940s ""net wt"" wrapper","Research assist only: find source-attributable Reese's Peanut Butter Cups 1940s ingredient, nutrition, or back-panel photo leads. Treat CWA as dated wrapper context only; return source URLs and confidence warnings, not verified claims.",1_private_visual_review_existing_cwa;2_back_panel_source_hunt;3_private_crop;4_native_ocr;5_corrected_transcription;6_manual_verification,92,"Use the CWA wrapper photo as dated product context, then hunt a readable back/side ingredient or nutrition panel for the same product and vintage.",1,0
cwa-panel-gap-source-hunt-v1,cwa_ingredient_packet_0075af3870d743,10,reeses_peanut_butter_cups,Reese's Peanut Butter Cups,1970s,1970s,candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1970s-reeses/,1970s Reese's Peanut Butter Cups source page,lineage_photo_only_back_panel_hunt_needed,ingredient_panel_source_hunt,dated_wrapper_lineage_context,7,0,1,6,ingredient_panel;nutrition_panel,net_weight;manufacturer_or_distributor;serving_size;date_or_lot_cue,back_panel_photo;side_panel_photo;auction_listing_photo;collector_listing_photo;brand_archive;retailer_label;archive_capture,"""1970s Reese's Peanut Butter Cups"" ingredients wrapper back panel; ""1970s Reese's Peanut Butter Cups"" nutrition facts wrapper; ""1970s Reese's Peanut Butter Cups"" candy wrapper back; ""1970s Reese's Peanut Butter Cups"" ingredients label; ""Reese's Peanut Butter Cups"" 1970s ""net wt"" wrapper","Research assist only: find source-attributable Reese's Peanut Butter Cups 1970s ingredient, nutrition, or back-panel photo leads. Treat CWA as dated wrapper context only; return source URLs and confidence warnings, not verified claims.",1_private_visual_review_existing_cwa;2_back_panel_source_hunt;3_private_crop;4_native_ocr;5_corrected_transcription;6_manual_verification,92,"Use the CWA wrapper photo as dated product context, then hunt a readable back/side ingredient or nutrition panel for the same product and vintage.",1,0
cwa-panel-gap-source-hunt-v1,cwa_ingredient_packet_99d7a0607d525c,11,reeses_peanut_butter_cups,Reese's Peanut Butter Cups,1980s,1980s,candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1980s-reeses/,1980s Reese's Peanut Butter Cups source page,lineage_photo_only_back_panel_hunt_needed,ingredient_panel_source_hunt,dated_wrapper_lineage_context,7,0,1,6,ingredient_panel;nutrition_panel,net_weight;manufacturer_or_distributor;serving_size;date_or_lot_cue,back_panel_photo;side_panel_photo;auction_listing_photo;collector_listing_photo;brand_archive;retailer_label;archive_capture,"""1980s Reese's Peanut Butter Cups"" ingredients wrapper back panel; ""1980s Reese's Peanut Butter Cups"" nutrition facts wrapper; ""1980s Reese's Peanut Butter Cups"" candy wrapper back; ""1980s Reese's Peanut Butter Cups"" ingredients label; ""Reese's Peanut Butter Cups"" 1980s ""net wt"" wrapper","Research assist only: find source-attributable Reese's Peanut Butter Cups 1980s ingredient, nutrition, or back-panel photo leads. Treat CWA as dated wrapper context only; return source URLs and confidence warnings, not verified claims.",1_private_visual_review_existing_cwa;2_back_panel_source_hunt;3_private_crop;4_native_ocr;5_corrected_transcription;6_manual_verification,92,"Use the CWA wrapper photo as dated product context, then hunt a readable back/side ingredient or nutrition panel for the same product and vintage.",1,0
cwa-panel-gap-source-hunt-v1,cwa_ingredient_packet_759d8e5eb34575,12,reeses_peanut_butter_cups,Reese's Peanut Butter Cups,1991,1990s,candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1991-reeses/,1991 Reese's Peanut Butter Cups source page,lineage_photo_only_back_panel_hunt_needed,ingredient_panel_source_hunt,dated_wrapper_lineage_context,7,0,1,6,ingredient_panel;nutrition_panel,net_weight;manufacturer_or_distributor;serving_size;date_or_lot_cue,back_panel_photo;side_panel_photo;auction_listing_photo;collector_listing_photo;brand_archive;retailer_label;archive_capture,"""1991 Reese's Peanut Butter Cups"" ingredients wrapper back panel; ""1991 Reese's Peanut Butter Cups"" nutrition facts wrapper; ""1991 Reese's Peanut Butter Cups"" candy wrapper back; ""1990s Reese's Peanut Butter Cups"" ingredients label; ""Reese's Peanut Butter Cups"" 1991 ""net wt"" wrapper","Research assist only: find source-attributable Reese's Peanut Butter Cups 1991 ingredient, nutrition, or back-panel photo leads. Treat CWA as dated wrapper context only; return source URLs and confidence warnings, not verified claims.",1_private_visual_review_existing_cwa;2_back_panel_source_hunt;3_private_crop;4_native_ocr;5_corrected_transcription;6_manual_verification,92,"Use the CWA wrapper photo as dated product context, then hunt a readable back/side ingredient or nutrition panel for the same product and vintage.",1,0
