run_id,review_id,task_id,task_rank,task_priority_score,review_state,evidence_id,product_id,product_name,vintage_label,source_domain,source_url,source_title,source_type,ocr_priority,capture_strategy,review_surface_hint,crop_target,private_crop_supplied,private_crop_hash,package_surface_visible,package_front_visible,package_back_or_side_visible,ingredient_panel_visible,nutrition_panel_visible,net_weight_visible,manufacturer_or_distributor_visible,date_or_lot_cue_visible,text_readable_for_ocr,panel_role_decision,reviewer,reviewed_at,reviewer_notes,rights_review_status,publication_image_policy,question_set,decision_policy,recommended_next_action,candidate_only,manual_verified
confection-wrapper-item-panel-v1,cwa_panel_review_kit_kat_bar_0e2438decd,capture_c74332b2f3b93d,1,144,panel_review_not_started,cwa_item_triage_kit_kat_bar_048074b72f,kit_kat_bar,Kit Kat Bar,2002,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2002-kit-kat/,2002 Kit Kat,collection_item_candidate,high,item_page_screenshot_then_panel_triage,ingredient_or_package_text_surface,"Capture item page and wrapper image privately; crop visible wrapper surfaces and classify front, back, side, net weight, maker, date cue, ingredient panel, and nutrition panel visibility.",0,,,,,,,,,,,,,,,rights_review_needed,source_link_only_no_public_image,"Is this an item-level wrapper or package source?; Is a package surface visible after private capture?; Is ingredient text visible?; Is nutrition text visible?; Is net weight visible?; Is maker/distributor text visible?; Is date, copyright, or lot cue visible?; Is any visible text readable enough for OCR?; Is this only wrapper-front/product identity context?; Should this remain source-link-only for rights reasons?",Route to OCR only when a private crop exists and visible package text is readable; otherwise keep as wrapper lineage/context evidence.,"Open source, privately capture/crop the package surface, answer the review fields, then route readable text crops to OCR.",1,0
confection-wrapper-item-panel-v1,cwa_panel_review_kit_kat_bar_49e53c60cd,capture_38add86bba751c,2,144,panel_review_not_started,cwa_item_triage_kit_kat_bar_2a96c86c14,kit_kat_bar,Kit Kat Bar,1970s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1970s-kit-kat/,1970s Kit Kat,collection_item_candidate,high,item_page_screenshot_then_panel_triage,ingredient_or_package_text_surface,"Capture item page and wrapper image privately; crop visible wrapper surfaces and classify front, back, side, net weight, maker, date cue, ingredient panel, and nutrition panel visibility.",0,,,,,,,,,,,,,,,rights_review_needed,source_link_only_no_public_image,"Is this an item-level wrapper or package source?; Is a package surface visible after private capture?; Is ingredient text visible?; Is nutrition text visible?; Is net weight visible?; Is maker/distributor text visible?; Is date, copyright, or lot cue visible?; Is any visible text readable enough for OCR?; Is this only wrapper-front/product identity context?; Should this remain source-link-only for rights reasons?",Route to OCR only when a private crop exists and visible package text is readable; otherwise keep as wrapper lineage/context evidence.,"Open source, privately capture/crop the package surface, answer the review fields, then route readable text crops to OCR.",1,0
confection-wrapper-item-panel-v1,cwa_panel_review_kit_kat_bar_457135a656,capture_65e6c12a431ee9,3,144,panel_review_not_started,cwa_item_triage_kit_kat_bar_7d8d5f75c1,kit_kat_bar,Kit Kat Bar,2007,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2007-kit-kat/,2007 Kit Kat,collection_item_candidate,high,item_page_screenshot_then_panel_triage,ingredient_or_package_text_surface,"Capture item page and wrapper image privately; crop visible wrapper surfaces and classify front, back, side, net weight, maker, date cue, ingredient panel, and nutrition panel visibility.",0,,,,,,,,,,,,,,,rights_review_needed,source_link_only_no_public_image,"Is this an item-level wrapper or package source?; Is a package surface visible after private capture?; Is ingredient text visible?; Is nutrition text visible?; Is net weight visible?; Is maker/distributor text visible?; Is date, copyright, or lot cue visible?; Is any visible text readable enough for OCR?; Is this only wrapper-front/product identity context?; Should this remain source-link-only for rights reasons?",Route to OCR only when a private crop exists and visible package text is readable; otherwise keep as wrapper lineage/context evidence.,"Open source, privately capture/crop the package surface, answer the review fields, then route readable text crops to OCR.",1,0
confection-wrapper-item-panel-v1,cwa_panel_review_kit_kat_bar_d4accc7a5e,capture_c642b5e45ef4da,4,144,panel_review_not_started,cwa_item_triage_kit_kat_bar_b6403000eb,kit_kat_bar,Kit Kat Bar,2000,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2000-kit-kat/,2000 Kit Kat,collection_item_candidate,high,item_page_screenshot_then_panel_triage,ingredient_or_package_text_surface,"Capture item page and wrapper image privately; crop visible wrapper surfaces and classify front, back, side, net weight, maker, date cue, ingredient panel, and nutrition panel visibility.",0,,,,,,,,,,,,,,,rights_review_needed,source_link_only_no_public_image,"Is this an item-level wrapper or package source?; Is a package surface visible after private capture?; Is ingredient text visible?; Is nutrition text visible?; Is net weight visible?; Is maker/distributor text visible?; Is date, copyright, or lot cue visible?; Is any visible text readable enough for OCR?; Is this only wrapper-front/product identity context?; Should this remain source-link-only for rights reasons?",Route to OCR only when a private crop exists and visible package text is readable; otherwise keep as wrapper lineage/context evidence.,"Open source, privately capture/crop the package surface, answer the review fields, then route readable text crops to OCR.",1,0
confection-wrapper-item-panel-v1,cwa_panel_review_kit_kat_bar_59e2a2fae8,capture_65627b3d8ecafb,5,144,panel_review_not_started,cwa_item_triage_kit_kat_bar_c130111192,kit_kat_bar,Kit Kat Bar,2006,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/2006-kit-kat/,2006 Kit Kat,collection_item_candidate,high,item_page_screenshot_then_panel_triage,ingredient_or_package_text_surface,"Capture item page and wrapper image privately; crop visible wrapper surfaces and classify front, back, side, net weight, maker, date cue, ingredient panel, and nutrition panel visibility.",0,,,,,,,,,,,,,,,rights_review_needed,source_link_only_no_public_image,"Is this an item-level wrapper or package source?; Is a package surface visible after private capture?; Is ingredient text visible?; Is nutrition text visible?; Is net weight visible?; Is maker/distributor text visible?; Is date, copyright, or lot cue visible?; Is any visible text readable enough for OCR?; Is this only wrapper-front/product identity context?; Should this remain source-link-only for rights reasons?",Route to OCR only when a private crop exists and visible package text is readable; otherwise keep as wrapper lineage/context evidence.,"Open source, privately capture/crop the package surface, answer the review fields, then route readable text crops to OCR.",1,0
confection-wrapper-item-panel-v1,cwa_panel_review_kit_kat_bar_e4b325412d,capture_cca74a2ddda27a,6,144,panel_review_not_started,cwa_item_triage_kit_kat_bar_cc86c0713b,kit_kat_bar,Kit Kat Bar,1960s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1960s-kit-kat/,1960s Kit Kat,collection_item_candidate,high,item_page_screenshot_then_panel_triage,ingredient_or_package_text_surface,"Capture item page and wrapper image privately; crop visible wrapper surfaces and classify front, back, side, net weight, maker, date cue, ingredient panel, and nutrition panel visibility.",0,,,,,,,,,,,,,,,rights_review_needed,source_link_only_no_public_image,"Is this an item-level wrapper or package source?; Is a package surface visible after private capture?; Is ingredient text visible?; Is nutrition text visible?; Is net weight visible?; Is maker/distributor text visible?; Is date, copyright, or lot cue visible?; Is any visible text readable enough for OCR?; Is this only wrapper-front/product identity context?; Should this remain source-link-only for rights reasons?",Route to OCR only when a private crop exists and visible package text is readable; otherwise keep as wrapper lineage/context evidence.,"Open source, privately capture/crop the package surface, answer the review fields, then route readable text crops to OCR.",1,0
confection-wrapper-item-panel-v1,cwa_panel_review_milky_way_bar_40533303ce,capture_185b856da719c8,7,144,panel_review_not_started,cwa_item_triage_milky_way_bar_522c99a44a,milky_way_bar,Milky Way Bar,1950s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1950s-milky-way-2/,1950s Milky Way,collection_item_candidate,high,item_page_screenshot_then_panel_triage,ingredient_or_package_text_surface,"Capture item page and wrapper image privately; crop visible wrapper surfaces and classify front, back, side, net weight, maker, date cue, ingredient panel, and nutrition panel visibility.",0,,,,,,,,,,,,,,,rights_review_needed,source_link_only_no_public_image,"Is this an item-level wrapper or package source?; Is a package surface visible after private capture?; Is ingredient text visible?; Is nutrition text visible?; Is net weight visible?; Is maker/distributor text visible?; Is date, copyright, or lot cue visible?; Is any visible text readable enough for OCR?; Is this only wrapper-front/product identity context?; Should this remain source-link-only for rights reasons?",Route to OCR only when a private crop exists and visible package text is readable; otherwise keep as wrapper lineage/context evidence.,"Open source, privately capture/crop the package surface, answer the review fields, then route readable text crops to OCR.",1,0
confection-wrapper-item-panel-v1,cwa_panel_review_milky_way_bar_409fcc912c,capture_0ca309a96fce90,8,144,panel_review_not_started,cwa_item_triage_milky_way_bar_5b9a6ac660,milky_way_bar,Milky Way Bar,1939,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1939-milky-way/,1939 Milky Way,collection_item_candidate,high,item_page_screenshot_then_panel_triage,ingredient_or_package_text_surface,"Capture item page and wrapper image privately; crop visible wrapper surfaces and classify front, back, side, net weight, maker, date cue, ingredient panel, and nutrition panel visibility.",0,,,,,,,,,,,,,,,rights_review_needed,source_link_only_no_public_image,"Is this an item-level wrapper or package source?; Is a package surface visible after private capture?; Is ingredient text visible?; Is nutrition text visible?; Is net weight visible?; Is maker/distributor text visible?; Is date, copyright, or lot cue visible?; Is any visible text readable enough for OCR?; Is this only wrapper-front/product identity context?; Should this remain source-link-only for rights reasons?",Route to OCR only when a private crop exists and visible package text is readable; otherwise keep as wrapper lineage/context evidence.,"Open source, privately capture/crop the package surface, answer the review fields, then route readable text crops to OCR.",1,0
confection-wrapper-item-panel-v1,cwa_panel_review_milky_way_bar_e6dc50eafd,capture_153a17559d5431,9,144,panel_review_not_started,cwa_item_triage_milky_way_bar_95738b0020,milky_way_bar,Milky Way Bar,1940s,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1940s-milky-way/,1940s Milky Way,collection_item_candidate,high,item_page_screenshot_then_panel_triage,ingredient_or_package_text_surface,"Capture item page and wrapper image privately; crop visible wrapper surfaces and classify front, back, side, net weight, maker, date cue, ingredient panel, and nutrition panel visibility.",0,,,,,,,,,,,,,,,rights_review_needed,source_link_only_no_public_image,"Is this an item-level wrapper or package source?; Is a package surface visible after private capture?; Is ingredient text visible?; Is nutrition text visible?; Is net weight visible?; Is maker/distributor text visible?; Is date, copyright, or lot cue visible?; Is any visible text readable enough for OCR?; Is this only wrapper-front/product identity context?; Should this remain source-link-only for rights reasons?",Route to OCR only when a private crop exists and visible package text is readable; otherwise keep as wrapper lineage/context evidence.,"Open source, privately capture/crop the package surface, answer the review fields, then route readable text crops to OCR.",1,0
confection-wrapper-item-panel-v1,cwa_panel_review_milky_way_bar_698dd4ddbf,capture_d9df42963905f1,10,144,panel_review_not_started,cwa_item_triage_milky_way_bar_e949e52021,milky_way_bar,Milky Way Bar,1958,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1958-milky-way/,1958 Milky Way,collection_item_candidate,high,item_page_screenshot_then_panel_triage,ingredient_or_package_text_surface,"Capture item page and wrapper image privately; crop visible wrapper surfaces and classify front, back, side, net weight, maker, date cue, ingredient panel, and nutrition panel visibility.",0,,,,,,,,,,,,,,,rights_review_needed,source_link_only_no_public_image,"Is this an item-level wrapper or package source?; Is a package surface visible after private capture?; Is ingredient text visible?; Is nutrition text visible?; Is net weight visible?; Is maker/distributor text visible?; Is date, copyright, or lot cue visible?; Is any visible text readable enough for OCR?; Is this only wrapper-front/product identity context?; Should this remain source-link-only for rights reasons?",Route to OCR only when a private crop exists and visible package text is readable; otherwise keep as wrapper lineage/context evidence.,"Open source, privately capture/crop the package surface, answer the review fields, then route readable text crops to OCR.",1,0
