product_queue_rank,product_id,product_name,product_priority_score,product_queue_state,source_site_readiness,story_readiness_state,ingredient_evidence_state,priority_tier,lineage_span_label,item_page_count,source_era_count,source_url_count,exact_year_count,decade_count,earliest_vintage_label,latest_vintage_label,primary_photo_rule,secondary_photo_rule,ingredient_panel_targets,nutrition_panel_targets,primary_panel_targets,support_text_targets,secondary_context_targets,explicit_panel_signal_source_eras,wrapper_context_only_source_eras,wrapper_context_candidate_count,source_image_candidate_count,back_panel_hunt_needed_rows,source_hunt_gap_count,readable_for_ocr,verified_ingredient_labels,first_source_title,first_source_url,source_hunt_queries,claim_gate,publication_image_policy,review_blocker,next_action,candidate_only,manual_verified
1,butterfinger_bar,Butterfinger Bar,308,cwa_package_story_candidate,dated_wrapper_lineage_available,package_lineage_story_ready_ingredient_blocked,lineage_photo_only_back_panel_hunt_needed,dense_lineage_first,1930s-2009,8,8,8,6,6,1930s,2009,ingredient_and_nutrition_panels_first,wrapper_front_or_product_photo_is_package_context_only,8,8,16,24,8,0,8,40,58,8,0,0,0,1930s Butterfinger,https://www.candywrapperarchive.com/candy-collector/1930s-butterfinger-2/,,blocked_until_readable_panel_crop_ocr_correction_and_manual_verification,source_link_only_no_external_image_reuse_until_rights_review,"Ingredient story remains blocked until a readable ingredient/nutrition panel is privately cropped, OCRed or transcribed, corrected, and manually verified.","Use the CWA pages as dated wrapper lineage, inspect each source image for back/side panels, and run back-panel source hunts for eras that remain wrapper-front only.",1,0
2,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,266,cwa_package_story_candidate,dated_wrapper_lineage_available,package_lineage_story_ready_ingredient_blocked,lineage_photo_only_back_panel_hunt_needed,dense_lineage_first,1908-1960s,6,6,6,3,6,1908,1960s,ingredient_and_nutrition_panels_first,wrapper_front_or_product_photo_is_package_context_only,6,6,12,18,6,0,6,30,42,6,0,0,0,1908 Hershey,https://www.candywrapperarchive.com/candy-collector/1908-hershey-wrapper/,,blocked_until_readable_panel_crop_ocr_correction_and_manual_verification,source_link_only_no_external_image_reuse_until_rights_review,"Ingredient story remains blocked until a readable ingredient/nutrition panel is privately cropped, OCRed or transcribed, corrected, and manually verified.","Use the CWA pages as dated wrapper lineage, inspect each source image for back/side panels, and run back-panel source hunts for eras that remain wrapper-front only.",1,0
3,snickers_bar,Snickers Bar,258,cwa_package_story_candidate,dated_wrapper_lineage_available,package_lineage_story_ready_ingredient_blocked,lineage_photo_only_back_panel_hunt_needed,dense_lineage_first,1939-2002,6,6,6,4,6,1939,2002,ingredient_and_nutrition_panels_first,wrapper_front_or_product_photo_is_package_context_only,6,6,12,18,6,0,6,30,42,6,0,0,0,1939 Snickers,https://www.candywrapperarchive.com/candy-collector/1940s-snickers/,,blocked_until_readable_panel_crop_ocr_correction_and_manual_verification,source_link_only_no_external_image_reuse_until_rights_review,"Ingredient story remains blocked until a readable ingredient/nutrition panel is privately cropped, OCRed or transcribed, corrected, and manually verified.","Use the CWA pages as dated wrapper lineage, inspect each source image for back/side panels, and run back-panel source hunts for eras that remain wrapper-front only.",1,0
4,reeses_peanut_butter_cups,Reese's Peanut Butter Cups,256,cwa_package_story_candidate,dated_wrapper_lineage_available,package_lineage_story_ready_ingredient_blocked,lineage_photo_only_back_panel_hunt_needed,dense_lineage_first,1940s-2005,7,7,7,4,5,1940s,2005,ingredient_and_nutrition_panels_first,wrapper_front_or_product_photo_is_package_context_only,7,7,14,21,7,0,7,7,49,7,0,0,0,1940s Reeses Bag,https://www.candywrapperarchive.com/candy-collector/1940s-reeses-bag/,,blocked_until_readable_panel_crop_ocr_correction_and_manual_verification,source_link_only_no_external_image_reuse_until_rights_review,"Ingredient story remains blocked until a readable ingredient/nutrition panel is privately cropped, OCRed or transcribed, corrected, and manually verified.","Use the CWA pages as dated wrapper lineage, inspect each source image for back/side panels, and run back-panel source hunts for eras that remain wrapper-front only.",1,0
5,kit_kat_bar,Kit Kat Bar,202,cwa_package_story_candidate,dated_wrapper_lineage_available,package_lineage_story_ready_ingredient_blocked,lineage_photo_only_back_panel_hunt_needed,multi_era_lineage,1960s-2007,6,6,6,4,3,1960s,2007,ingredient_and_nutrition_panels_first,wrapper_front_or_product_photo_is_package_context_only,6,6,12,18,6,0,6,30,42,6,0,0,0,1960s Kit Kat,https://www.candywrapperarchive.com/candy-collector/1960s-kit-kat/,,blocked_until_readable_panel_crop_ocr_correction_and_manual_verification,source_link_only_no_external_image_reuse_until_rights_review,"Ingredient story remains blocked until a readable ingredient/nutrition panel is privately cropped, OCRed or transcribed, corrected, and manually verified.","Use the CWA pages as dated wrapper lineage, inspect each source image for back/side panels, and run back-panel source hunts for eras that remain wrapper-front only.",1,0
6,milky_way_bar,Milky Way Bar,178,cwa_package_story_candidate,dated_wrapper_lineage_available,package_lineage_story_ready_ingredient_blocked,lineage_photo_only_back_panel_hunt_needed,multi_era_lineage,1939-1958,4,4,4,2,3,1939,1958,ingredient_and_nutrition_panels_first,wrapper_front_or_product_photo_is_package_context_only,4,4,8,12,4,0,4,20,28,4,0,0,0,1939 Milky Way,https://www.candywrapperarchive.com/candy-collector/1939-milky-way/,,blocked_until_readable_panel_crop_ocr_correction_and_manual_verification,source_link_only_no_external_image_reuse_until_rights_review,"Ingredient story remains blocked until a readable ingredient/nutrition panel is privately cropped, OCRed or transcribed, corrected, and manually verified.","Use the CWA pages as dated wrapper lineage, inspect each source image for back/side panels, and run back-panel source hunts for eras that remain wrapper-front only.",1,0
7,mms_milk_chocolate,M&M's Milk Chocolate Candies,166,cwa_package_story_candidate,dated_wrapper_lineage_available,package_lineage_story_ready_ingredient_blocked,lineage_photo_only_back_panel_hunt_needed,multi_era_lineage,1970s-1998,5,5,5,2,2,1970s,1998,ingredient_and_nutrition_panels_first,wrapper_front_or_product_photo_is_package_context_only,5,5,10,15,5,0,5,5,35,5,0,0,0,1970s M&Ms,https://www.candywrapperarchive.com/candy-collector/1970s-mms/,,blocked_until_readable_panel_crop_ocr_correction_and_manual_verification,source_link_only_no_external_image_reuse_until_rights_review,"Ingredient story remains blocked until a readable ingredient/nutrition panel is privately cropped, OCRed or transcribed, corrected, and manually verified.","Use the CWA pages as dated wrapper lineage, inspect each source image for back/side panels, and run back-panel source hunts for eras that remain wrapper-front only.",1,0
8,twix_bar,Twix Bar,148,cwa_package_story_candidate,dated_wrapper_lineage_available,package_lineage_story_ready_ingredient_blocked,lineage_photo_only_back_panel_hunt_needed,multi_era_lineage,2002-2009,5,5,5,5,1,2002,2009,ingredient_and_nutrition_panels_first,wrapper_front_or_product_photo_is_package_context_only,5,5,10,15,5,0,5,25,35,5,0,0,0,2002 Twix,https://www.candywrapperarchive.com/candy-collector/2002-twix/,,blocked_until_readable_panel_crop_ocr_correction_and_manual_verification,source_link_only_no_external_image_reuse_until_rights_review,"Ingredient story remains blocked until a readable ingredient/nutrition panel is privately cropped, OCRed or transcribed, corrected, and manually verified.","Use the CWA pages as dated wrapper lineage, inspect each source image for back/side panels, and run back-panel source hunts for eras that remain wrapper-front only.",1,0
9,tootsie_roll,Tootsie Roll,112,cwa_package_story_candidate,dated_wrapper_lineage_available,package_lineage_story_ready_ingredient_blocked,lineage_photo_only_back_panel_hunt_needed,promising_lineage,1940s-1960s,2,2,2,0,2,1940s,1960s,ingredient_and_nutrition_panels_first,wrapper_front_or_product_photo_is_package_context_only,2,2,4,6,2,0,2,2,12,2,0,0,0,1940s Tootsie Roll,https://www.candywrapperarchive.com/candy-collector/1940s-tootsie-roll/,,blocked_until_readable_panel_crop_ocr_correction_and_manual_verification,source_link_only_no_external_image_reuse_until_rights_review,"Ingredient story remains blocked until a readable ingredient/nutrition panel is privately cropped, OCRed or transcribed, corrected, and manually verified.","Use the CWA pages as dated wrapper lineage, inspect each source image for back/side panels, and run back-panel source hunts for eras that remain wrapper-front only.",1,0
10,skittles_original,Skittles Original,-60,cwa_source_hunt_gap,needs_item_level_cwa_or_equivalent_source,source_hunt_needed_before_story,source_hunt_before_panel_review,single_lead_or_gap,date review,0,0,0,0,0,,,ingredient_and_nutrition_panels_first,wrapper_front_or_product_photo_is_package_context_only,0,0,0,0,0,0,0,0,0,0,1,0,0,,,"site:candywrapperarchive.com/candy-collection ""Skittles Original"";site:candywrapperarchive.com/candy-collector ""Skittles Original"" wrapper;site:candywrapperarchive.com ""Skittles Original"" ""Candy Wrapper Archive""",blocked_until_readable_panel_crop_ocr_correction_and_manual_verification,source_link_only_no_external_image_reuse_until_rights_review,Attach item-level CWA pages or equivalent source-attributable wrapper photos before building a package story.,"Run constrained Candy Wrapper Archive item/collection searches, attach source URLs, then regenerate the item-candidate and panel-review pipeline.",1,0
