task_id,product_id,product_name,category,priority_tier,task_type,priority_score,source_domain,source_url,source_title,observed_source_rows,linked_vintage_slots,existing_display_lanes,review_goal,extraction_checklist,ingredient_claim_rule,publication_rule,next_pipeline_action,search_queries
cwa_snickers_bar_3a5b272b95,snickers_bar,Snickers Bar,candy,existing_lineage_source,collection_page_existing_lead,156,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/snickers/,Snickers Candy Wrapper Archive,4,1980s_or_earlier;1990s;earliest_verified_label;2000s,panel_capture_needed,Use this collection page as the first wrapper-lineage index; select item-level records before capture/OCR.,"record source URL, title, owner/publisher, access date, and rights note; record claimed product date/decade and whether that date is from page metadata, title, caption, or inference; record visible product name, variant, manufacturer/distributor, net weight, and package format; classify whether wrapper front, back, side, nutrition panel, ingredient panel, barcode, lot/date cue, or only collection-page context is visible; select item-level wrapper pages or image records by decade before OCR; do not OCR the collection index as a label; promote to panel OCR only if ingredient or nutrition text is visibly readable","Wrapper-front lineage can support package story only; ingredient claims require readable panel OCR, corrected transcription, and manual verification.",Link out first; keep screenshots/crops private unless rights are clear.,"Create or update evidence artifact rows, then route readable ingredient/nutrition panels into panel_capture_ocr_queue.","site:candywrapperarchive.com/candy-collection ""Snickers Bar"";site:candywrapperarchive.com/candy-collector ""Snickers Bar"" wrapper;site:candywrapperarchive.com ""Snickers Bar"" ""Candy Wrapper Archive"""
cwa_twix_bar_af7683d09d,twix_bar,Twix Bar,candy,existing_lineage_source,collection_page_existing_lead,156,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/twix/,Twix Candy Wrapper Archive collection page,4,1980s_or_earlier;1990s;earliest_verified_label;2000s,panel_capture_needed,Use this collection page as the first wrapper-lineage index; select item-level records before capture/OCR.,"record source URL, title, owner/publisher, access date, and rights note; record claimed product date/decade and whether that date is from page metadata, title, caption, or inference; record visible product name, variant, manufacturer/distributor, net weight, and package format; classify whether wrapper front, back, side, nutrition panel, ingredient panel, barcode, lot/date cue, or only collection-page context is visible; select item-level wrapper pages or image records by decade before OCR; do not OCR the collection index as a label; promote to panel OCR only if ingredient or nutrition text is visibly readable","Wrapper-front lineage can support package story only; ingredient claims require readable panel OCR, corrected transcription, and manual verification.",Link out first; keep screenshots/crops private unless rights are clear.,"Create or update evidence artifact rows, then route readable ingredient/nutrition panels into panel_capture_ocr_queue.","site:candywrapperarchive.com/candy-collection ""Twix Bar"";site:candywrapperarchive.com/candy-collector ""Twix Bar"" wrapper;site:candywrapperarchive.com ""Twix Bar"" ""Candy Wrapper Archive"""
cwa_tootsie_roll_38029af7c2,tootsie_roll,Tootsie Roll,candy,existing_source_lead,item_page_review,139,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1960s-tootsie-roll-2/,1960s Tootsie Roll candy wrapper - Candy Wrapper Archive,2,1980s_or_earlier;earliest_verified_label,panel_capture_needed,"Review this item-level wrapper page for decade, weight, maker, photo role, rights, and whether any label panel is readable.","record source URL, title, owner/publisher, access date, and rights note; record claimed product date/decade and whether that date is from page metadata, title, caption, or inference; record visible product name, variant, manufacturer/distributor, net weight, and package format; classify whether wrapper front, back, side, nutrition panel, ingredient panel, barcode, lot/date cue, or only collection-page context is visible; capture private source-page screenshot and wrapper crop if rights are not clear for publication; promote to panel OCR only if ingredient or nutrition text is visibly readable","Wrapper-front lineage can support package story only; ingredient claims require readable panel OCR, corrected transcription, and manual verification.",Link out first; keep screenshots/crops private unless rights are clear.,"Create or update evidence artifact rows, then route readable ingredient/nutrition panels into panel_capture_ocr_queue.","site:candywrapperarchive.com/candy-collection ""Tootsie Roll"";site:candywrapperarchive.com/candy-collector ""Tootsie Roll"" wrapper;site:candywrapperarchive.com ""Tootsie Roll"" ""Candy Wrapper Archive"""
cwa_kit_kat_bar_e6d313c911,kit_kat_bar,Kit Kat Bar,candy,existing_source_lead,collection_page_existing_lead,138,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/kit-kat/,Kit Kat Candy Wrapper Archive,3,1980s_or_earlier;earliest_verified_label;2000s,source_page_capture_needed,Use this collection page as the first wrapper-lineage index; select item-level records before capture/OCR.,"record source URL, title, owner/publisher, access date, and rights note; record claimed product date/decade and whether that date is from page metadata, title, caption, or inference; record visible product name, variant, manufacturer/distributor, net weight, and package format; classify whether wrapper front, back, side, nutrition panel, ingredient panel, barcode, lot/date cue, or only collection-page context is visible; select item-level wrapper pages or image records by decade before OCR; do not OCR the collection index as a label; promote to panel OCR only if ingredient or nutrition text is visibly readable","Wrapper-front lineage can support package story only; ingredient claims require readable panel OCR, corrected transcription, and manual verification.",Link out first; keep screenshots/crops private unless rights are clear.,"Create or update evidence artifact rows, then route readable ingredient/nutrition panels into panel_capture_ocr_queue.","site:candywrapperarchive.com/candy-collection ""Kit Kat Bar"";site:candywrapperarchive.com/candy-collector ""Kit Kat Bar"" wrapper;site:candywrapperarchive.com ""Kit Kat Bar"" ""Candy Wrapper Archive"""
cwa_tootsie_roll_c3653b2d6e,tootsie_roll,Tootsie Roll,candy,existing_source_lead,item_page_review,136,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collector/1940s-tootsie-roll/,Candy Wrapper Archive 1940s Tootsie Roll wrapper page,1,earliest_verified_label,panel_capture_needed,"Review this item-level wrapper page for decade, weight, maker, photo role, rights, and whether any label panel is readable.","record source URL, title, owner/publisher, access date, and rights note; record claimed product date/decade and whether that date is from page metadata, title, caption, or inference; record visible product name, variant, manufacturer/distributor, net weight, and package format; classify whether wrapper front, back, side, nutrition panel, ingredient panel, barcode, lot/date cue, or only collection-page context is visible; capture private source-page screenshot and wrapper crop if rights are not clear for publication; promote to panel OCR only if ingredient or nutrition text is visibly readable","Wrapper-front lineage can support package story only; ingredient claims require readable panel OCR, corrected transcription, and manual verification.",Link out first; keep screenshots/crops private unless rights are clear.,"Create or update evidence artifact rows, then route readable ingredient/nutrition panels into panel_capture_ocr_queue.","site:candywrapperarchive.com/candy-collection ""Tootsie Roll"";site:candywrapperarchive.com/candy-collector ""Tootsie Roll"" wrapper;site:candywrapperarchive.com ""Tootsie Roll"" ""Candy Wrapper Archive"""
cwa_milky_way_bar_3cfb33623b,milky_way_bar,Milky Way Bar,candy,existing_source_lead,collection_page_existing_lead,135,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/milky-way/,Milky Way Candy Wrapper Archive,2,1980s_or_earlier;earliest_verified_label,panel_capture_needed,Use this collection page as the first wrapper-lineage index; select item-level records before capture/OCR.,"record source URL, title, owner/publisher, access date, and rights note; record claimed product date/decade and whether that date is from page metadata, title, caption, or inference; record visible product name, variant, manufacturer/distributor, net weight, and package format; classify whether wrapper front, back, side, nutrition panel, ingredient panel, barcode, lot/date cue, or only collection-page context is visible; select item-level wrapper pages or image records by decade before OCR; do not OCR the collection index as a label; promote to panel OCR only if ingredient or nutrition text is visibly readable","Wrapper-front lineage can support package story only; ingredient claims require readable panel OCR, corrected transcription, and manual verification.",Link out first; keep screenshots/crops private unless rights are clear.,"Create or update evidence artifact rows, then route readable ingredient/nutrition panels into panel_capture_ocr_queue.","site:candywrapperarchive.com/candy-collection ""Milky Way Bar"";site:candywrapperarchive.com/candy-collector ""Milky Way Bar"" wrapper;site:candywrapperarchive.com ""Milky Way Bar"" ""Candy Wrapper Archive"""
cwa_butterfinger_bar_91fb3e352e,butterfinger_bar,Butterfinger Bar,candy,collection_page_likely,collection_page_likely_lead,95,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/butterfinger/,Butterfinger Bar Candy Wrapper Archive collection lead,0,,,Open the likely collection page before broader web search; create item-level evidence rows from matching wrappers.,"record source URL, title, owner/publisher, access date, and rights note; record claimed product date/decade and whether that date is from page metadata, title, caption, or inference; record visible product name, variant, manufacturer/distributor, net weight, and package format; classify whether wrapper front, back, side, nutrition panel, ingredient panel, barcode, lot/date cue, or only collection-page context is visible; select item-level wrapper pages or image records by decade before OCR; do not OCR the collection index as a label; promote to panel OCR only if ingredient or nutrition text is visibly readable",Collection-page leads are package-lineage candidates only until item-level panel evidence is reviewed.,Link out first; keep screenshots/crops private unless rights are clear.,"Confirm matching item records, then add source-attributable evidence artifacts by decade.","site:candywrapperarchive.com/candy-collection ""Butterfinger Bar"";site:candywrapperarchive.com/candy-collector ""Butterfinger Bar"" wrapper;site:candywrapperarchive.com ""Butterfinger Bar"" ""Candy Wrapper Archive"""
cwa_hersheys_milk_chocolate_bar_b25653cddf,hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,candy,collection_page_likely,collection_page_likely_lead,95,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/hershey/,Hershey's Milk Chocolate Bar Candy Wrapper Archive collection lead,0,,,Open the likely collection page before broader web search; create item-level evidence rows from matching wrappers.,"record source URL, title, owner/publisher, access date, and rights note; record claimed product date/decade and whether that date is from page metadata, title, caption, or inference; record visible product name, variant, manufacturer/distributor, net weight, and package format; classify whether wrapper front, back, side, nutrition panel, ingredient panel, barcode, lot/date cue, or only collection-page context is visible; select item-level wrapper pages or image records by decade before OCR; do not OCR the collection index as a label; promote to panel OCR only if ingredient or nutrition text is visibly readable",Collection-page leads are package-lineage candidates only until item-level panel evidence is reviewed.,Link out first; keep screenshots/crops private unless rights are clear.,"Confirm matching item records, then add source-attributable evidence artifacts by decade.","site:candywrapperarchive.com/candy-collection ""Hershey's Milk Chocolate Bar"";site:candywrapperarchive.com/candy-collector ""Hershey's Milk Chocolate Bar"" wrapper;site:candywrapperarchive.com ""Hershey's Milk Chocolate Bar"" ""Candy Wrapper Archive"""
cwa_mms_milk_chocolate_b58ca2ee14,mms_milk_chocolate,M&M's Milk Chocolate Candies,candy,collection_page_likely,collection_page_likely_lead,95,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/mms/,M&M's Milk Chocolate Candies Candy Wrapper Archive collection lead,0,,,Open the likely collection page before broader web search; create item-level evidence rows from matching wrappers.,"record source URL, title, owner/publisher, access date, and rights note; record claimed product date/decade and whether that date is from page metadata, title, caption, or inference; record visible product name, variant, manufacturer/distributor, net weight, and package format; classify whether wrapper front, back, side, nutrition panel, ingredient panel, barcode, lot/date cue, or only collection-page context is visible; select item-level wrapper pages or image records by decade before OCR; do not OCR the collection index as a label; promote to panel OCR only if ingredient or nutrition text is visibly readable",Collection-page leads are package-lineage candidates only until item-level panel evidence is reviewed.,Link out first; keep screenshots/crops private unless rights are clear.,"Confirm matching item records, then add source-attributable evidence artifacts by decade.","site:candywrapperarchive.com/candy-collection ""M&M's Milk Chocolate Candies"";site:candywrapperarchive.com/candy-collector ""M&M's Milk Chocolate Candies"" wrapper;site:candywrapperarchive.com ""M&M's Milk Chocolate Candies"" ""Candy Wrapper Archive"""
cwa_reeses_peanut_butter_cups_c0e8fa4fab,reeses_peanut_butter_cups,Reese's Peanut Butter Cups,candy,collection_page_likely,collection_page_likely_lead,95,www.candywrapperarchive.com,https://www.candywrapperarchive.com/candy-collection/resses/,Reese's Peanut Butter Cups Candy Wrapper Archive collection lead,0,,,Open the likely collection page before broader web search; create item-level evidence rows from matching wrappers.,"record source URL, title, owner/publisher, access date, and rights note; record claimed product date/decade and whether that date is from page metadata, title, caption, or inference; record visible product name, variant, manufacturer/distributor, net weight, and package format; classify whether wrapper front, back, side, nutrition panel, ingredient panel, barcode, lot/date cue, or only collection-page context is visible; select item-level wrapper pages or image records by decade before OCR; do not OCR the collection index as a label; promote to panel OCR only if ingredient or nutrition text is visibly readable",Collection-page leads are package-lineage candidates only until item-level panel evidence is reviewed.,Link out first; keep screenshots/crops private unless rights are clear.,"Confirm matching item records, then add source-attributable evidence artifacts by decade.","site:candywrapperarchive.com/candy-collection ""Reese's Peanut Butter Cups"";site:candywrapperarchive.com/candy-collector ""Reese's Peanut Butter Cups"" wrapper;site:candywrapperarchive.com ""Reese's Peanut Butter Cups"" ""Candy Wrapper Archive"""
