product_id,product_name,category,corpus_scope,source_backed_slots,total_slots,priority_tier,candy_wrapper_archive_rows,candy_wrapper_archive_vintage_slots,known_candy_wrapper_archive_urls,source_title_examples,source_role,ingredient_claim_rule,rights_rule,recommended_action,search_queries
snickers_bar,Snickers Bar,candy,full_corpus_shell,5,6,existing_lineage_source,4,0,https://www.candywrapperarchive.com/candy-collection/snickers/,Snickers Candy Wrapper Archive,wrapper_lineage_secondary_context,Do not treat wrapper-front lineage photos as ingredient proof unless a readable ingredient/nutrition panel is visible and manually reviewed.,Link out and store attribution first; do not republish external wrapper images unless rights are clear.,"Open the Candy Wrapper Archive collection/page rows first; select item-level wrapper records by decade, then look for back/side-panel proof elsewhere.","site:candywrapperarchive.com/candy-collection ""Snickers Bar"";site:candywrapperarchive.com/candy-collector ""Snickers Bar"" wrapper;site:candywrapperarchive.com ""Snickers Bar"" ""Candy Wrapper Archive"""
twix_bar,Twix Bar,candy,full_corpus_shell,5,6,existing_lineage_source,4,0,https://www.candywrapperarchive.com/candy-collection/twix/,Twix Candy Wrapper Archive collection page,wrapper_lineage_secondary_context,Do not treat wrapper-front lineage photos as ingredient proof unless a readable ingredient/nutrition panel is visible and manually reviewed.,Link out and store attribution first; do not republish external wrapper images unless rights are clear.,"Open the Candy Wrapper Archive collection/page rows first; select item-level wrapper records by decade, then look for back/side-panel proof elsewhere.","site:candywrapperarchive.com/candy-collection ""Twix Bar"";site:candywrapperarchive.com/candy-collector ""Twix Bar"" wrapper;site:candywrapperarchive.com ""Twix Bar"" ""Candy Wrapper Archive"""
kit_kat_bar,Kit Kat Bar,candy,full_corpus_shell,5,6,existing_source_lead,3,0,https://www.candywrapperarchive.com/candy-collection/kit-kat/,Kit Kat Candy Wrapper Archive,wrapper_lineage_secondary_context,Do not treat wrapper-front lineage photos as ingredient proof unless a readable ingredient/nutrition panel is visible and manually reviewed.,Link out and store attribution first; do not republish external wrapper images unless rights are clear.,"Promote this product in wrapper-lineage review; inspect the existing Candy Wrapper Archive source rows for decade, net weight, maker, and rights notes.","site:candywrapperarchive.com/candy-collection ""Kit Kat Bar"";site:candywrapperarchive.com/candy-collector ""Kit Kat Bar"" wrapper;site:candywrapperarchive.com ""Kit Kat Bar"" ""Candy Wrapper Archive"""
tootsie_roll,Tootsie Roll,candy,full_corpus_shell,3,6,existing_source_lead,3,0,https://www.candywrapperarchive.com/candy-collector/1960s-tootsie-roll-2/;https://www.candywrapperarchive.com/candy-collector/1940s-tootsie-roll/;https://www.candywrapperarchive.com/candy-collection/tootsie-roll/,1960s Tootsie Roll candy wrapper - Candy Wrapper Archive;Candy Wrapper Archive 1940s Tootsie Roll wrapper page,wrapper_lineage_secondary_context,Do not treat wrapper-front lineage photos as ingredient proof unless a readable ingredient/nutrition panel is visible and manually reviewed.,Link out and store attribution first; do not republish external wrapper images unless rights are clear.,"Promote this product in wrapper-lineage review; inspect the existing Candy Wrapper Archive source rows for decade, net weight, maker, and rights notes.","site:candywrapperarchive.com/candy-collection ""Tootsie Roll"";site:candywrapperarchive.com/candy-collector ""Tootsie Roll"" wrapper;site:candywrapperarchive.com ""Tootsie Roll"" ""Candy Wrapper Archive"""
milky_way_bar,Milky Way Bar,candy,full_corpus_shell,3,6,existing_source_lead,2,0,https://www.candywrapperarchive.com/candy-collection/milky-way/,Milky Way Candy Wrapper Archive,wrapper_lineage_secondary_context,Do not treat wrapper-front lineage photos as ingredient proof unless a readable ingredient/nutrition panel is visible and manually reviewed.,Link out and store attribution first; do not republish external wrapper images unless rights are clear.,"Promote this product in wrapper-lineage review; inspect the existing Candy Wrapper Archive source rows for decade, net weight, maker, and rights notes.","site:candywrapperarchive.com/candy-collection ""Milky Way Bar"";site:candywrapperarchive.com/candy-collector ""Milky Way Bar"" wrapper;site:candywrapperarchive.com ""Milky Way Bar"" ""Candy Wrapper Archive"""
butterfinger_bar,Butterfinger Bar,candy,full_corpus_shell,4,6,collection_page_likely,0,0,https://www.candywrapperarchive.com/candy-collection/butterfinger/,,wrapper_lineage_secondary_context,Do not treat wrapper-front lineage photos as ingredient proof unless a readable ingredient/nutrition panel is visible and manually reviewed.,Link out and store attribution first; do not republish external wrapper images unless rights are clear.,Run a targeted Candy Wrapper Archive collection-page check before broader web search; keep results as package-lineage evidence until panels are visible.,"site:candywrapperarchive.com/candy-collection ""Butterfinger Bar"";site:candywrapperarchive.com/candy-collector ""Butterfinger Bar"" wrapper;site:candywrapperarchive.com ""Butterfinger Bar"" ""Candy Wrapper Archive"""
hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,candy,full_corpus_shell,5,6,collection_page_likely,0,0,https://www.candywrapperarchive.com/candy-collection/hershey/,,wrapper_lineage_secondary_context,Do not treat wrapper-front lineage photos as ingredient proof unless a readable ingredient/nutrition panel is visible and manually reviewed.,Link out and store attribution first; do not republish external wrapper images unless rights are clear.,Run a targeted Candy Wrapper Archive collection-page check before broader web search; keep results as package-lineage evidence until panels are visible.,"site:candywrapperarchive.com/candy-collection ""Hershey's Milk Chocolate Bar"";site:candywrapperarchive.com/candy-collector ""Hershey's Milk Chocolate Bar"" wrapper;site:candywrapperarchive.com ""Hershey's Milk Chocolate Bar"" ""Candy Wrapper Archive"""
mms_milk_chocolate,M&M's Milk Chocolate Candies,candy,full_corpus_shell,4,6,collection_page_likely,0,0,https://www.candywrapperarchive.com/candy-collection/mms/,,wrapper_lineage_secondary_context,Do not treat wrapper-front lineage photos as ingredient proof unless a readable ingredient/nutrition panel is visible and manually reviewed.,Link out and store attribution first; do not republish external wrapper images unless rights are clear.,Run a targeted Candy Wrapper Archive collection-page check before broader web search; keep results as package-lineage evidence until panels are visible.,"site:candywrapperarchive.com/candy-collection ""M&M's Milk Chocolate Candies"";site:candywrapperarchive.com/candy-collector ""M&M's Milk Chocolate Candies"" wrapper;site:candywrapperarchive.com ""M&M's Milk Chocolate Candies"" ""Candy Wrapper Archive"""
reeses_peanut_butter_cups,Reese's Peanut Butter Cups,candy,full_corpus_shell,3,6,collection_page_likely,0,0,https://www.candywrapperarchive.com/candy-collection/reeses/,,wrapper_lineage_secondary_context,Do not treat wrapper-front lineage photos as ingredient proof unless a readable ingredient/nutrition panel is visible and manually reviewed.,Link out and store attribution first; do not republish external wrapper images unless rights are clear.,Run a targeted Candy Wrapper Archive collection-page check before broader web search; keep results as package-lineage evidence until panels are visible.,"site:candywrapperarchive.com/candy-collection ""Reese's Peanut Butter Cups"";site:candywrapperarchive.com/candy-collector ""Reese's Peanut Butter Cups"" wrapper;site:candywrapperarchive.com ""Reese's Peanut Butter Cups"" ""Candy Wrapper Archive"""
skittles_original,Skittles Original,candy,full_corpus_shell,5,6,source_search_priority,0,0,,,wrapper_lineage_secondary_context,Do not treat wrapper-front lineage photos as ingredient proof unless a readable ingredient/nutrition panel is visible and manually reviewed.,Link out and store attribution first; do not republish external wrapper images unless rights are clear.,"Run targeted Candy Wrapper Archive searches for Skittles Original; use hits as wrapper-lineage leads, not ingredient verification.","site:candywrapperarchive.com/candy-collection ""Skittles Original"";site:candywrapperarchive.com/candy-collector ""Skittles Original"" wrapper;site:candywrapperarchive.com ""Skittles Original"" ""Candy Wrapper Archive"""
