run_id,route_type,route_id,provider,model,status,source_row_count,evidence_ids,candidate_only
hybrid-ocr-v1,spark_packet,spark_00f49271aecb4f,codex,gpt-5.3-codex-spark,packet_ready,5,poptarts_frosted_strawberry__current_2020s__13__3;poptarts_frosted_strawberry__current_2020s__722__7;poptarts_brown_sugar_cinnamon__current_2020s__43__5;poptarts_brown_sugar_cinnamon__current_2020s__536__6;poptarts_brown_sugar_cinnamon__current_2020s__853__7,true
hybrid-ocr-v1,spark_packet,spark_01c20939b5e561,codex,gpt-5.3-codex-spark,packet_ready,1,kraft_singles_american__current_2020s__286__6,true
hybrid-ocr-v1,spark_packet,spark_0253f10c1b0b96,codex,gpt-5.3-codex-spark,packet_ready,1,hidden_valley_ranch_original__earliest_verified_label__454__2,true
hybrid-ocr-v1,spark_packet,spark_0298bff7910166,codex,gpt-5.3-codex-spark,packet_ready,2,jello_strawberry_gelatin__current_2020s__283__1;jello_strawberry_gelatin__current_2020s__560__2,true
hybrid-ocr-v1,spark_packet,spark_048660610cec55,codex,gpt-5.3-codex-spark,packet_ready,1,kit_kat_bar__current_2020s__903__2,true
hybrid-ocr-v1,spark_packet,spark_048d0641cbea27,codex,gpt-5.3-codex-spark,packet_ready,1,jif_creamy_peanut_butter__current_2020s__285__2,true
hybrid-ocr-v1,spark_packet,spark_055f63b6184993,codex,gpt-5.3-codex-spark,packet_ready,1,cheez_it_original__current_2020s__22__4,true
hybrid-ocr-v1,spark_packet,spark_0592446f8d8dc7,codex,gpt-5.3-codex-spark,packet_ready,1,cheerios_original__earliest_verified_label__460__11,true
hybrid-ocr-v1,spark_packet,spark_067c0ae2eb3939,codex,gpt-5.3-codex-spark,packet_ready,4,hot_pockets_pepperoni_pizza__current_2020s__83__2;totinos_pizza_rolls__current_2020s__557__4;hot_pockets_pepperoni_pizza__2010s__84__1;totinos_pizza_rolls__2010s__557__1,true
hybrid-ocr-v1,spark_packet,spark_0a84b6d79bb955,codex,gpt-5.3-codex-spark,packet_ready,2,doritos_nacho_cheese__current_2020s__469__3;doritos_nacho_cheese__2010s__469__2,true
hybrid-ocr-v1,spark_packet,spark_0b2765773a6e6b,codex,gpt-5.3-codex-spark,packet_ready,1,hidden_valley_ranch_original__current_2020s__95__3,true
hybrid-ocr-v1,spark_packet,spark_10e294768dd601,codex,gpt-5.3-codex-spark,packet_ready,4,reeses_peanut_butter_cups__current_2020s__1067__2;reeses_peanut_butter_cups__current_2020s__855__3;mms_milk_chocolate__current_2020s__1082__1;snickers_bar__current_2020s__526__2,true
hybrid-ocr-v1,spark_packet,spark_12d24d82c062c5,codex,gpt-5.3-codex-spark,packet_ready,1,doritos_nacho_cheese__current_2020s__407__1,true
hybrid-ocr-v1,spark_packet,spark_1abafd109fb9d8,codex,gpt-5.3-codex-spark,packet_ready,1,oreo_original_chocolate_sandwich_cookies__current_2020s__607__2,true
hybrid-ocr-v1,spark_packet,spark_1c83e642419048,codex,gpt-5.3-codex-spark,packet_ready,3,capn_crunch_original__current_2020s__440__3;capn_crunch_original__earliest_verified_label__440__7;capn_crunch_original__1990s__440__2,true
hybrid-ocr-v1,spark_packet,spark_1d07c621e9d5b5,codex,gpt-5.3-codex-spark,packet_ready,1,jello_strawberry_gelatin__earliest_verified_label__562__2,true
hybrid-ocr-v1,spark_packet,spark_229922a152b657,codex,gpt-5.3-codex-spark,packet_ready,1,lays_classic__2010s__27__1,true
hybrid-ocr-v1,spark_packet,spark_235acd5a63d65e,codex,gpt-5.3-codex-spark,packet_ready,1,chips_ahoy_original__current_2020s__408__3,true
hybrid-ocr-v1,spark_packet,spark_2cbc6165d41216,codex,gpt-5.3-codex-spark,packet_ready,1,jello_strawberry_gelatin__earliest_verified_label__185__1,true
hybrid-ocr-v1,spark_packet,spark_30ab868c78de8b,codex,gpt-5.3-codex-spark,packet_ready,3,poptarts_frosted_strawberry__current_2020s__14__4;poptarts_frosted_strawberry__current_2020s__721__6;poptarts_brown_sugar_cinnamon__current_2020s__537__1,true
hybrid-ocr-v1,spark_packet,spark_318b938a015752,codex,gpt-5.3-codex-spark,packet_ready,1,cheez_it_original__current_2020s__21__1,true
hybrid-ocr-v1,spark_packet,spark_3330b8e3f5b172,codex,gpt-5.3-codex-spark,packet_ready,3,velveeta_shells_and_cheese__earliest_verified_label__680__1;velveeta_shells_and_cheese__earliest_verified_label__679__2;velveeta_shells_and_cheese__2010s__680__1,true
hybrid-ocr-v1,spark_packet,spark_341bfa83a7efc5,codex,gpt-5.3-codex-spark,packet_ready,1,twinkies__2010s__15__1,true
hybrid-ocr-v1,spark_packet,spark_34201f99959570,codex,gpt-5.3-codex-spark,packet_ready,1,quaker_old_fashioned_oats__current_2020s__86__6,true
hybrid-ocr-v1,spark_packet,spark_344a55624e4f37,codex,gpt-5.3-codex-spark,packet_ready,4,oreo_original_chocolate_sandwich_cookies__current_2020s__1__5;chips_ahoy_original__current_2020s__11__7;oreo_original_chocolate_sandwich_cookies__current_2020s__372__4;fig_newtons__current_2020s__58__4,true
hybrid-ocr-v1,spark_packet,spark_35c92dab48f776,codex,gpt-5.3-codex-spark,packet_ready,2,dr_pepper_original__current_2020s__52__4;dr_pepper_original__current_2020s__506__2,true
hybrid-ocr-v1,spark_packet,spark_3723e56b49ab6b,codex,gpt-5.3-codex-spark,packet_ready,3,nutella_hazelnut_spread__current_2020s__65__6;nutella_hazelnut_spread__current_2020s__641__7;nutella_hazelnut_spread__current_2020s__744__8,true
hybrid-ocr-v1,spark_packet,spark_37c5665eb63b64,codex,gpt-5.3-codex-spark,packet_ready,5,hersheys_milk_chocolate_bar__current_2020s__25__1;hersheys_milk_chocolate_bar__current_2020s__496__2;reeses_peanut_butter_cups__current_2020s__1052__4;reeses_peanut_butter_cups__current_2020s__35__1;kit_kat_bar__current_2020s__61__1,true
hybrid-ocr-v1,spark_packet,spark_3addceaaf2612f,codex,gpt-5.3-codex-spark,packet_ready,1,capn_crunch_original__earliest_verified_label__1084__6,true
hybrid-ocr-v1,spark_packet,spark_3c09da54a0f3a1,codex,gpt-5.3-codex-spark,packet_ready,2,doritos_nacho_cheese__current_2020s__250__2;pringles_original__current_2020s__507__3,true
hybrid-ocr-v1,spark_packet,spark_3ed80c6c16f209,codex,gpt-5.3-codex-spark,packet_ready,1,snickers_bar__current_2020s__49__1,true
hybrid-ocr-v1,spark_packet,spark_3fb34bd031a258,codex,gpt-5.3-codex-spark,packet_ready,1,heinz_tomato_ketchup__current_2020s__251__3,true
