batch_id,batch_rank,row_count,source_domain,ocr_gap_category,ocr_priority,product_count,evidence_ids,product_names,capture_goal,model_route,public_safety
panel_capture_bf38be007ba799,1,20,mixed (11 domains),panel_capture_needed,high,10,cheerios_original_evidence_1;coca_cola_classic_evidence_1;flickr_oreo_1993;campbells_tomato_soup_evidence_7;cheerios_original_evidence_8;coca_cola_classic_evidence_6;doritos_nacho_cheese_evidence_7;heinz_tomato_ketchup_evidence_6;kraft_macaroni_and_cheese_original_evidence_8;mcdonalds_big_mac_evidence_1;mcdonalds_big_mac_evidence_5;mcdonalds_chicken_mcnuggets_evidence_2;mcdonalds_chicken_mcnuggets_evidence_7;smartlabel_oreo_143;poptarts_frosted_strawberry_evidence_7;campbells_tomato_soup_evidence_5;cheerios_original_evidence_1;coca_cola_classic_evidence_1;flickr_oreo_1960s;doritos_nacho_cheese_evidence_7,Cheerios Original; Coca-Cola Classic; Oreo Original Chocolate Sandwich Cookies; Campbell's Condensed Tomato Soup; Doritos Nacho Cheese; Heinz Tomato Ketchup; Kraft Macaroni & Cheese Original; McDonald's Big Mac; McDonald's Chicken McNuggets; Pop-Tarts Frosted Strawberry,"Use Spark for bounded crop/capture instructions, then capture private panel/document crops for native OCR.",gpt-5.3-codex-spark for capture packets; gpt-5.5 only after OCR; Grok only for source hunting or validation advice.,candidate-only; no private paths; no external image embeds; no manual_verified output
panel_capture_fb230621c2a599,2,6,mixed (4 domains),panel_capture_needed,high,4,mcdonalds_big_mac_evidence_4;mcdonalds_big_mac_evidence_4;mcdonalds_chicken_mcnuggets_evidence_4;mcdonalds_chicken_mcnuggets_evidence_4;ewg_oreo_winter_2010;poptarts_frosted_strawberry_evidence_6,McDonald's Big Mac; McDonald's Chicken McNuggets; Oreo Original Chocolate Sandwich Cookies; Pop-Tarts Frosted Strawberry,"Use Spark for bounded crop/capture instructions, then capture private panel/document crops for native OCR.",gpt-5.3-codex-spark for capture packets; gpt-5.5 only after OCR; Grok only for source hunting or validation advice.,candidate-only; no private paths; no external image embeds; no manual_verified output
panel_capture_8bc4bac0f85472,3,20,mixed (5 domains),readable_panel_photo_needed,high,9,campbells_tomato_soup_evidence_0;cheerios_original_evidence_5;coca_cola_classic_evidence_4;doritos_nacho_cheese_evidence_0;doritos_nacho_cheese_evidence_1;heinz_tomato_ketchup_evidence_0;kraft_macaroni_and_cheese_original_evidence_0;kraft_macaroni_and_cheese_original_evidence_1;mcdonalds_big_mac_evidence_3;poptarts_frosted_strawberry_evidence_0;doritos_nacho_cheese_evidence_0;heinz_tomato_ketchup_evidence_1;kraft_macaroni_and_cheese_original_evidence_0;mcdonalds_big_mac_evidence_0;mcdonalds_chicken_mcnuggets_evidence_0;poptarts_frosted_strawberry_evidence_0;campbells_tomato_soup_evidence_6;cheerios_original_evidence_7;coca_cola_classic_evidence_2;coca_cola_classic_evidence_5,Campbell's Condensed Tomato Soup; Cheerios Original; Coca-Cola Classic; Doritos Nacho Cheese; Heinz Tomato Ketchup; Kraft Macaroni & Cheese Original; McDonald's Big Mac; Pop-Tarts Frosted Strawberry; McDonald's Chicken McNuggets,"Use Spark for bounded crop/capture instructions, then capture private panel/document crops for native OCR.",gpt-5.3-codex-spark for capture packets; gpt-5.5 only after OCR; Grok only for source hunting or validation advice.,candidate-only; no private paths; no external image embeds; no manual_verified output
panel_capture_e83715531ecc95,4,5,commons.wikimedia.org; flickr.com,readable_panel_photo_needed,low,5,doritos_nacho_cheese_evidence_6;heinz_tomato_ketchup_evidence_5;kraft_macaroni_and_cheese_original_evidence_7;flickr_oreo_harley_2000;poptarts_frosted_strawberry_evidence_2,Doritos Nacho Cheese; Heinz Tomato Ketchup; Kraft Macaroni & Cheese Original; Oreo Original Chocolate Sandwich Cookies; Pop-Tarts Frosted Strawberry,"Use Spark for bounded crop/capture instructions, then capture private panel/document crops for native OCR.",gpt-5.3-codex-spark for capture packets; gpt-5.5 only after OCR; Grok only for source hunting or validation advice.,candidate-only; no private paths; no external image embeds; no manual_verified output
panel_capture_e2ab15a115f243,5,20,mixed (10 domains),panel_capture_needed,low,19,wendys_chili__current_2020s__569__1;wendys_daves_single__current_2020s__632__2;wheat_thins_original__current_2020s__56__3;wheaties__current_2020s__116__2;7up_original__1980s_or_earlier__273__1;capn_crunch_original__1980s_or_earlier__277__4;dinty_moore_beef_stew__1980s_or_earlier__1059__2;jello_strawberry_gelatin__1980s_or_earlier__185__1;froot_loops__1980s_or_earlier__435__2;frosted_flakes__1980s_or_earlier__478__1;lucky_charms__1980s_or_earlier__276__2;pillsbury_crescent_rolls__1980s_or_earlier__1035__2;spam_classic__1980s_or_earlier__1029__1;sprite_original__1980s_or_earlier__417__1;tang_orange__1980s_or_earlier__580__1;trix_cereal__1980s_or_earlier__208__1;wheaties__1980s_or_earlier__638__1;burger_king_whopper__current_2020s__746__1;chipotle_chicken_burrito__current_2020s__669__2;ball_park_franks__2010s__683__2,Wendy's Chili; Wendy's Dave's Single; Wheat Thins Original; Wheaties; 7UP Original; Cap'n Crunch Original; Dinty Moore Beef Stew; Jell-O Strawberry Gelatin; Kellogg's Froot Loops; Kellogg's Frosted Flakes; Lucky Charms; Pillsbury Crescent Rolls; SPAM Classic; Sprite Original; Tang Orange Drink Mix; Trix Cereal; Burger King Whopper; Chipotle Chicken Burrito; Ball Park Franks,"Use Spark for bounded crop/capture instructions, then capture private panel/document crops for native OCR.",gpt-5.3-codex-spark for capture packets; gpt-5.5 only after OCR; Grok only for source hunting or validation advice.,candidate-only; no private paths; no external image embeds; no manual_verified output
panel_capture_75440dab21b74f,6,20,mixed (11 domains),panel_capture_needed,low,19,bisquick_original__2010s__701__1;cheetos_crunchy__2010s__483__1;chips_ahoy_original__2010s__448__3;cinnamon_toast_crunch__2010s__512__1;dominos_hand_tossed_pepperoni__2010s__785__1;dr_pepper_original__2010s__661__1;dunkin_glazed_donut__2000s__801__1;eggo_homestyle_waffles__2010s__775__1;fig_newtons__2010s__59__1;frenchs_yellow_mustard__2010s__682__2;hidden_valley_ranch_original__2000s__454__1;hidden_valley_ranch_original__2010s__454__1;hormel_chili_no_beans__2010s__677__1;twinkies__2010s__15__1;hot_pockets_pepperoni_pizza__2010s__84__1;kfc_famous_bowl__2010s__700__1;kfc_original_recipe_chicken__2010s__765__1;kit_kat_bar__2010s__906__1;lays_classic__2010s__27__1;lean_cuisine_salisbury_steak__2010s__678__1,Bisquick Original Pancake and Baking Mix; Cheetos Crunchy; Chips Ahoy! Original Cookies; Cinnamon Toast Crunch; Domino's Hand Tossed Pepperoni Pizza; Dr Pepper Original; Dunkin' Glazed Donut; Eggo Homestyle Waffles; Fig Newtons; French's Classic Yellow Mustard; Hidden Valley Original Ranch; Hormel Chili No Beans; Hostess Twinkies; Hot Pockets Pepperoni Pizza; KFC Famous Bowl; KFC Original Recipe Chicken; Kit Kat Bar; Lay's Classic Potato Chips; Lean Cuisine Salisbury Steak,"Use Spark for bounded crop/capture instructions, then capture private panel/document crops for native OCR.",gpt-5.3-codex-spark for capture packets; gpt-5.5 only after OCR; Grok only for source hunting or validation advice.,candidate-only; no private paths; no external image embeds; no manual_verified output
panel_capture_23c1a50f81ee72,7,20,mixed (13 domains),panel_capture_needed,low,20,hellmanns_mayonnaise_real__current_2020s__608__4;hersheys_milk_chocolate_bar__current_2020s__25__1;hidden_valley_ranch_original__current_2020s__95__3;honey_nut_cheerios__current_2020s__32__2;hormel_chili_no_beans__current_2020s__894__3;hostess_cupcakes__current_2020s__74__4;twinkies__current_2020s__16__2;hot_pockets_pepperoni_pizza__current_2020s__83__2;jello_strawberry_gelatin__current_2020s__53__3;jif_creamy_peanut_butter__current_2020s__60__3;corn_flakes__current_2020s__39__3;froot_loops__current_2020s__40__2;frosted_flakes__current_2020s__41__2;raisin_bran_kelloggs__current_2020s__111__3;rice_krispies__current_2020s__55__3;kfc_famous_bowl__current_2020s__581__1;kit_kat_bar__current_2020s__61__1;kool_aid_cherry__current_2020s__265__1;kraft_singles_american__current_2020s__78__4;lays_classic__current_2020s__28__2,Hellmann's Real Mayonnaise; Hershey's Milk Chocolate Bar; Hidden Valley Original Ranch; Honey Nut Cheerios; Hormel Chili No Beans; Hostess CupCakes; Hostess Twinkies; Hot Pockets Pepperoni Pizza; Jell-O Strawberry Gelatin; Jif Creamy Peanut Butter; Kellogg's Corn Flakes; Kellogg's Froot Loops; Kellogg's Frosted Flakes; Kellogg's Raisin Bran; Kellogg's Rice Krispies; KFC Famous Bowl; Kit Kat Bar; Kool-Aid Cherry Drink Mix; Kraft Singles American Cheese; Lay's Classic Potato Chips,"Use Spark for bounded crop/capture instructions, then capture private panel/document crops for native OCR.",gpt-5.3-codex-spark for capture packets; gpt-5.5 only after OCR; Grok only for source hunting or validation advice.,candidate-only; no private paths; no external image embeds; no manual_verified output
panel_capture_299e7ab9be789d,8,19,mixed (13 domains),panel_capture_needed,low,13,lucky_charms__2010s__902__1;mcdonalds_world_famous_fries__2000s__653__2;mcdonalds_world_famous_fries__2010s__653__1;nilla_wafers__2000s__865__1;nilla_wafers__2010s__865__1;nutella_hazelnut_spread__1980s_or_earlier__1034__1;philadelphia_cream_cheese_original__2010s__211__1;pillsbury_crescent_rolls__2010s__694__1;pillsbury_toaster_strudel_strawberry__2000s__675__1;pillsbury_toaster_strudel_strawberry__2010s__676__1;pizza_hut_original_pan_pepperoni__2000s__655__1;pizza_hut_original_pan_pepperoni__2010s__656__1;popeyes_chicken_sandwich__2010s__718__1;grape_nuts__2010s__939__1;pringles_original__2000s__999__1;pringles_original__2010s__999__2;quaker_old_fashioned_oats__2010s__933__1;ritz_original_crackers__2000s__446__1;ritz_original_crackers__2010s__446__2,Lucky Charms; McDonald's World Famous Fries; Nilla Wafers; Nutella Hazelnut Spread; Philadelphia Original Cream Cheese; Pillsbury Crescent Rolls; Pillsbury Toaster Strudel Strawberry; Pizza Hut Original Pan Pepperoni Pizza; Popeyes Chicken Sandwich; Post Grape-Nuts; Pringles Original Crisps; Quaker Old Fashioned Oats; Ritz Original Crackers,"Use Spark for bounded crop/capture instructions, then capture private panel/document crops for native OCR.",gpt-5.3-codex-spark for capture packets; gpt-5.5 only after OCR; Grok only for source hunting or validation advice.,candidate-only; no private paths; no external image embeds; no manual_verified output
panel_capture_c014cd03f6d482,9,20,mixed (13 domains),panel_capture_needed,low,20,lucky_charms__earliest_verified_label__276__3;pillsbury_toaster_strudel_strawberry__earliest_verified_label__675__1;pizza_hut_original_pan_pepperoni__earliest_verified_label__655__1;ritz_original_crackers__earliest_verified_label__401__2;spam_classic__earliest_verified_label__733__1;sprite_original__earliest_verified_label__417__1;stouffers_lasagna_meat_sauce__earliest_verified_label__681__1;taco_bell_bean_burrito__earliest_verified_label__798__1;tang_orange__earliest_verified_label__580__1;trix_cereal__earliest_verified_label__208__1;twizzlers_strawberry__earliest_verified_label__687__1;velveeta_shells_and_cheese__earliest_verified_label__680__1;wheaties__earliest_verified_label__638__1;7up_original__current_2020s__263__1;ball_park_franks__current_2020s__916__11;banquet_chicken_pot_pie__current_2020s__130__1;betty_crocker_super_moist_yellow_cake_mix__current_2020s__100__1;bisquick_original__current_2020s__701__3;butterfinger_bar__current_2020s__525__1;campbells_chicken_noodle_soup__current_2020s__530__2,Lucky Charms; Pillsbury Toaster Strudel Strawberry; Pizza Hut Original Pan Pepperoni Pizza; Ritz Original Crackers; SPAM Classic; Sprite Original; Stouffer's Lasagna with Meat & Sauce; Taco Bell Bean Burrito; Tang Orange Drink Mix; Trix Cereal; Twizzlers Strawberry Twists; Velveeta Shells & Cheese; Wheaties; 7UP Original; Ball Park Franks; Banquet Chicken Pot Pie; Betty Crocker Super Moist Yellow Cake Mix; Bisquick Original Pancake and Baking Mix; Butterfinger Bar; Campbell's Chicken Noodle Soup,"Use Spark for bounded crop/capture instructions, then capture private panel/document crops for native OCR.",gpt-5.3-codex-spark for capture packets; gpt-5.5 only after OCR; Grok only for source hunting or validation advice.,candidate-only; no private paths; no external image embeds; no manual_verified output
panel_capture_c4c0b797eb84be,10,20,mixed (15 domains),panel_capture_needed,low,18,starbucks_pumpkin_spice_latte__earliest_verified_label__768__1;starbucks_pumpkin_spice_latte__current_2020s__966__1;starburst_original__current_2020s__689__4;stouffers_lasagna_meat_sauce__current_2020s__453__4;subway_italian_bmt__current_2020s__570__1;subway_tuna_sub__earliest_verified_label__803__1;subway_tuna_sub__current_2020s__587__1;sunchips_harvest_cheddar__current_2020s__127__5;taco_bell_bean_burrito__current_2020s__709__1;taco_bell_crunchy_taco__current_2020s__1060__2;tang_orange__current_2020s__125__4;teddy_grahams_honey__current_2020s__841__4;tootsie_roll__current_2020s__922__3;tostitos_original__current_2020s__90__4;totinos_pizza_rolls__current_2020s__749__2;triscuit_original__current_2020s__936__3;trix_cereal__current_2020s__292__1;twix_bar__current_2020s__99__1;twizzlers_strawberry__current_2020s__139__4;velveeta_shells_and_cheese__current_2020s__94__2,Starbucks Pumpkin Spice Latte; Starburst Original; Stouffer's Lasagna with Meat & Sauce; Subway Italian B.M.T.; Subway Tuna Sub; SunChips Harvest Cheddar; Taco Bell Bean Burrito; Taco Bell Crunchy Taco; Tang Orange Drink Mix; Teddy Grahams Honey; Tootsie Roll; Tostitos Original Restaurant Style; Totino's Pizza Rolls; Triscuit Original Crackers; Trix Cereal; Twix Bar; Twizzlers Strawberry Twists; Velveeta Shells & Cheese,"Use Spark for bounded crop/capture instructions, then capture private panel/document crops for native OCR.",gpt-5.3-codex-spark for capture packets; gpt-5.5 only after OCR; Grok only for source hunting or validation advice.,candidate-only; no private paths; no external image embeds; no manual_verified output
