product_id,product_name,brand,category,corpus_scope,vintage_label,version_id,evidence_id,evidence_kind,source_domain,source_url,source_title,source_owner,panel_acquisition_state,ocr_priority,ocr_gap_category,ocr_access_state,ocr_recommended_action,registry_priority,promotion_blocker,ground_truth_fields_missing,image_reference,ingredient_panel_visible,nutrition_panel_visible,net_weight_visible,capture_strategy,crop_target,ocr_expected_surface,private_image_map_keys,rights_review_status,allowed_public_output,candidate_only,manual_verified
cheerios_original,Cheerios Original,,cereal,story_rich_pilot,Earliest bounded chapter,earliest_verified_label,cheerios_original_evidence_1,panel_source_candidate,flickr.com,https://www.flickr.com/photos/25692985%40N07/3523833856,1985 General Mills Cheerios Cereal Box Back - Flickr,flickr.com,panel_source_candidate,high,panel_capture_needed,source_page_capture_needed,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text.",125,Candidate-only: no ingredient or formulation claim may be promoted without corrected transcription and manual verification.,private_panel_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,candidate,,,panel_crop,Crop the ingredient statement panel with enough surrounding package context to preserve SKU/date cues.,ingredient_panel,cheerios_original_evidence_1;cheerios_original:cheerios_original_evidence_1;https://www.flickr.com/photos/25692985%40N07/3523833856,source_receipt_or_gap_only,"source receipt, hashes, OCR status, candidate text only after review; no private paths and no unverified claims",1,0
coca_cola_classic,Coca-Cola Classic,,beverages,story_rich_pilot,Earliest bounded chapter,earliest_verified_label,coca_cola_classic_evidence_1,panel_source_candidate,flickr.com,https://www.flickr.com/photos/studioz7/29453244726,1960s Coca-Cola syrup label collector photo,flickr.com,panel_source_candidate,high,panel_capture_needed,source_page_capture_needed,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text.",125,Candidate-only: no ingredient or formulation claim may be promoted without corrected transcription and manual verification.,private_panel_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,candidate,,,panel_crop,Crop the ingredient statement panel with enough surrounding package context to preserve SKU/date cues.,ingredient_panel,coca_cola_classic_evidence_1;coca_cola_classic:coca_cola_classic_evidence_1;https://www.flickr.com/photos/studioz7/29453244726,source_receipt_or_gap_only,"source receipt, hashes, OCR status, candidate text only after review; no private paths and no unverified claims",1,0
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,,packaged cookies,story_rich_pilot,1993 label candidate,package_1993,flickr_oreo_1993,panel_source_candidate,flickr.com,https://www.flickr.com/photos/jasonliebigstuff/6823914204,Nabisco - Oreo - 6-pack cookie pack - 1993 - Flickr,flickr.com,panel_source_candidate,high,panel_capture_needed,source_page_capture_needed,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text.",125,Candidate-only: no ingredient or formulation claim may be promoted without corrected transcription and manual verification.,private_panel_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,candidate,candidate,,panel_crop,"Crop the ingredient and nutrition panel together; include serving size, net weight, and manufacturer/distributor text if visible.",ingredient_or_nutrition_panel,flickr_oreo_1993;oreo_original_chocolate_sandwich_cookies:flickr_oreo_1993;https://www.flickr.com/photos/jasonliebigstuff/6823914204,source_receipt_or_gap_only,"source receipt, hashes, OCR status, candidate text only after review; no private paths and no unverified claims",1,0
campbells_tomato_soup,Campbell's Condensed Tomato Soup,,soup,story_rich_pilot,Current anchor,current_2020s,campbells_tomato_soup_evidence_7,panel_source_candidate,campbells.com,https://www.campbells.com/products/condensed/tomato-soup/,Campbell's Condensed Tomato Soup 10.75 oz current product page,campbells.com,panel_source_candidate,high,panel_capture_needed,source_page_capture_needed,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text.",117,Candidate-only: no ingredient or formulation claim may be promoted without corrected transcription and manual verification.,private_panel_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,candidate,,candidate,panel_crop,Crop the ingredient statement panel with enough surrounding package context to preserve SKU/date cues.,ingredient_panel,campbells_tomato_soup_evidence_7;campbells_tomato_soup:campbells_tomato_soup_evidence_7;https://www.campbells.com/products/condensed/tomato-soup/,source_receipt_or_gap_only,"source receipt, hashes, OCR status, candidate text only after review; no private paths and no unverified claims",1,0
cheerios_original,Cheerios Original,,cereal,story_rich_pilot,Current anchor,current_2020s,cheerios_original_evidence_8,panel_source_candidate,cheerios.com,https://www.cheerios.com/products/original-cheerios,Original Cheerios - Cheerios,cheerios.com,panel_source_candidate,high,panel_capture_needed,source_page_capture_needed,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text.",117,Candidate-only: no ingredient or formulation claim may be promoted without corrected transcription and manual verification.,private_panel_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,candidate,,candidate,panel_crop,Crop the ingredient statement panel with enough surrounding package context to preserve SKU/date cues.,ingredient_panel,cheerios_original_evidence_8;cheerios_original:cheerios_original_evidence_8;https://www.cheerios.com/products/original-cheerios,source_receipt_or_gap_only,"source receipt, hashes, OCR status, candidate text only after review; no private paths and no unverified claims",1,0
coca_cola_classic,Coca-Cola Classic,,beverages,story_rich_pilot,Current anchor,current_2020s,coca_cola_classic_evidence_6,panel_source_candidate,coca-cola.com,https://www.coca-cola.com/us/en/brands/coca-cola/products/original?redirect=true,Coca-Cola Original Soda current US product page,coca-cola.com,panel_source_candidate,high,panel_capture_needed,source_page_capture_needed,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text.",117,Candidate-only: no ingredient or formulation claim may be promoted without corrected transcription and manual verification.,private_panel_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,candidate,candidate,,panel_crop,"Crop the ingredient and nutrition panel together; include serving size, net weight, and manufacturer/distributor text if visible.",ingredient_or_nutrition_panel,coca_cola_classic_evidence_6;coca_cola_classic:coca_cola_classic_evidence_6;https://www.coca-cola.com/us/en/brands/coca-cola/products/original?redirect=true,source_receipt_or_gap_only,"source receipt, hashes, OCR status, candidate text only after review; no private paths and no unverified claims",1,0
doritos_nacho_cheese,Doritos Nacho Cheese,,chips,story_rich_pilot,Current anchor,current_2020s,doritos_nacho_cheese_evidence_7,panel_source_candidate,heb.com,https://www.heb.com/product-detail/doritos-nacho-cheese-flavored-tortilla-chips/1530760,Doritos Nacho Cheese Flavored Tortilla Chips - H-E-B,heb.com,panel_source_candidate,high,panel_capture_needed,source_page_capture_needed,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text.",117,Candidate-only: no ingredient or formulation claim may be promoted without corrected transcription and manual verification.,private_panel_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,candidate,,,panel_crop,Crop the ingredient statement panel with enough surrounding package context to preserve SKU/date cues.,ingredient_panel,doritos_nacho_cheese_evidence_7;doritos_nacho_cheese:doritos_nacho_cheese_evidence_7;https://www.heb.com/product-detail/doritos-nacho-cheese-flavored-tortilla-chips/1530760,source_receipt_or_gap_only,"source receipt, hashes, OCR status, candidate text only after review; no private paths and no unverified claims",1,0
heinz_tomato_ketchup,Heinz Tomato Ketchup,,condiments,story_rich_pilot,Current anchor,current_2020s,heinz_tomato_ketchup_evidence_6,panel_source_candidate,walmart.com,https://www.walmart.com/ip/20971263,Heinz Tomato Ketchup 14 oz bottle Walmart page,walmart.com,panel_source_candidate,high,panel_capture_needed,source_page_capture_needed,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text.",117,Candidate-only: no ingredient or formulation claim may be promoted without corrected transcription and manual verification.,private_panel_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,candidate,,candidate,panel_crop,Crop the ingredient statement panel with enough surrounding package context to preserve SKU/date cues.,ingredient_panel,heinz_tomato_ketchup_evidence_6;heinz_tomato_ketchup:heinz_tomato_ketchup_evidence_6;https://www.walmart.com/ip/20971263,source_receipt_or_gap_only,"source receipt, hashes, OCR status, candidate text only after review; no private paths and no unverified claims",1,0
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,,prepared foods,story_rich_pilot,Current anchor,current_2020s,kraft_macaroni_and_cheese_original_evidence_8,panel_source_candidate,walmart.com,https://www.walmart.com/ip/1178903502,"Kraft Mac and Cheese, Original Flavor, 7.25 oz - Walmart",walmart.com,panel_source_candidate,high,panel_capture_needed,source_page_capture_needed,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text.",117,Candidate-only: no ingredient or formulation claim may be promoted without corrected transcription and manual verification.,private_panel_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,candidate,,candidate,panel_crop,Crop the ingredient statement panel with enough surrounding package context to preserve SKU/date cues.,ingredient_panel,kraft_macaroni_and_cheese_original_evidence_8;kraft_macaroni_and_cheese_original:kraft_macaroni_and_cheese_original_evidence_8;https://www.walmart.com/ip/1178903502,source_receipt_or_gap_only,"source receipt, hashes, OCR status, candidate text only after review; no private paths and no unverified claims",1,0
mcdonalds_big_mac,McDonald's Big Mac,,fast food,story_rich_pilot,Earliest bounded chapter,earliest_verified_label,mcdonalds_big_mac_evidence_1,panel_source_candidate,grist.org,https://grist.org/wp-content/uploads/2010/07/nutritionfacts.pdf,McDonald's USA Nutrition Facts for Popular Menu Items PDF mirror,grist.org,panel_source_candidate,high,panel_capture_needed,source_page_capture_needed,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text.",117,Candidate-only: no ingredient or formulation claim may be promoted without corrected transcription and manual verification.,private_panel_crop_path; ocr_lines; corrected_text; reviewer; manual_verified,,candidate,,,document_text_extract,"Crop the ingredient and nutrition panel together; include serving size, net weight, and manufacturer/distributor text if visible.",ingredient_or_nutrition_panel,mcdonalds_big_mac_evidence_1;mcdonalds_big_mac:mcdonalds_big_mac_evidence_1;https://grist.org/wp-content/uploads/2010/07/nutritionfacts.pdf,source_receipt_or_gap_only,"source receipt, hashes, OCR status, candidate text only after review; no private paths and no unverified claims",1,0
