batch_id,batch_product_id,row_number,product_id,product_name,evidence_id,source_url,source_owner,source_title,display_lane,public_display_decision,image_display_policy,rights_status,upgrade_priority,linked_vintages,linked_years,capture_strategy,crop_target,ocr_expected_surface,private_image_map_keys,allowed_public_output,success_criteria,next_action
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,1,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,flickr_oreo_1960s,https://www.flickr.com/photos/jasonliebigstuff/4635007453,www.flickr.com,"Nabisco Oreo Creme Sandwich cello package, 1950s-1960s - Flickr",panel_capture_needed,show_source_receipt_only,source_link_only_no_public_image,Collector photo; inspect license/rights before reuse.,140,1980s_or_earlier,1960,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,flickr_oreo_1960s;oreo_original_chocolate_sandwich_cookies:flickr_oreo_1960s;https://www.flickr.com/photos/jasonliebigstuff/4635007453,"source receipt, hashes, OCR status, candidate text after review; no private image path and no external image embed","Private capture/crop exists, image-map key is populated, OCR can run, and source receipt remains public-safe.","Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear."
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,2,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,flickr_oreo_1993,https://www.flickr.com/photos/jasonliebigstuff/6823914204,www.flickr.com,Nabisco - Oreo - 6-pack cookie pack - 1993 - Flickr,panel_capture_needed,show_source_receipt_only,source_link_only_no_public_image,Collector photo; inspect license/rights before reuse.,140,1990s,1993,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,flickr_oreo_1993;oreo_original_chocolate_sandwich_cookies:flickr_oreo_1993;https://www.flickr.com/photos/jasonliebigstuff/6823914204,"source receipt, hashes, OCR status, candidate text after review; no private image path and no external image embed","Private capture/crop exists, image-map key is populated, OCR can run, and source receipt remains public-safe.","Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear."
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,3,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,flickr_oreo_1960s_box,https://www.flickr.com/photos/jasonliebigstuff/4210393728,www.flickr.com,Nabisco - Oreo cookie package - 1960s - Flickr,panel_capture_needed,show_source_receipt_only,source_link_only_no_public_image,Collector photo; inspect license/rights before reuse.,126,1980s_or_earlier,1960,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,flickr_oreo_1960s_box;oreo_original_chocolate_sandwich_cookies:flickr_oreo_1960s_box;https://www.flickr.com/photos/jasonliebigstuff/4210393728,"source receipt, hashes, OCR status, candidate text after review; no private image path and no external image embed","Private capture/crop exists, image-map key is populated, OCR can run, and source receipt remains public-safe.","Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear."
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,4,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,packaging_digest_century,https://www.packagingdigest.com/packaging-design/oreo-celebrates-century-of-cookie-packaging,www.packagingdigest.com,Oreo celebrates century of cookie packaging - Packaging Digest,panel_capture_needed,show_source_receipt_only,source_link_only_no_public_image,Article citation; not ingredient-label evidence.,126,1980s_or_earlier,1960,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,packaging_digest_century;oreo_original_chocolate_sandwich_cookies:packaging_digest_century;https://www.packagingdigest.com/packaging-design/oreo-celebrates-century-of-cookie-packaging,"source receipt, hashes, OCR status, candidate text after review; no private image path and no external image embed","Private capture/crop exists, image-map key is populated, OCR can run, and source receipt remains public-safe.","Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear."
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,5,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,seattlepi_century,https://www.seattlepi.com/entertainment/article/a-century-of-oreos-3386488.php,www.seattlepi.com,A century of Oreos - SeattlePI,panel_capture_needed,show_source_receipt_only,source_link_only_no_public_image,Article citation; not ingredient-label evidence.,126,1980s_or_earlier,1960,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,seattlepi_century;oreo_original_chocolate_sandwich_cookies:seattlepi_century;https://www.seattlepi.com/entertainment/article/a-century-of-oreos-3386488.php,"source receipt, hashes, OCR status, candidate text after review; no private image path and no external image embed","Private capture/crop exists, image-map key is populated, OCR can run, and source receipt remains public-safe.","Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear."
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,6,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,ewg_oreo_current,https://www.ewg.org/foodscores/products/0044000051617-OreoChocolateOriginalFlavorSandwichCookies/,www.ewg.org,EWG Food Scores - Oreo Chocolate Original Flavor Sandwich Cookies,panel_capture_needed,show_source_receipt_only,source_link_only_no_public_image,External source; use as citation link.,110,current_2020s,2026,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,ewg_oreo_current;oreo_original_chocolate_sandwich_cookies:ewg_oreo_current;https://www.ewg.org/foodscores/products/0044000051617-OreoChocolateOriginalFlavorSandwichCookies/,"source receipt, hashes, OCR status, candidate text after review; no private image path and no external image embed","Private capture/crop exists, image-map key is populated, OCR can run, and source receipt remains public-safe.","Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear."
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,7,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,ewg_oreo_winter_2010,https://www.ewg.org/foodscores/products/044000081034-OreoChocolateSandwichCookiesOriginalWinter/,www.ewg.org,"EWG Food Scores - Oreo Chocolate Sandwich Cookies, Original, Winter",panel_capture_needed,show_source_receipt_only,source_link_only_no_public_image,External source; use as citation link.,110,2010s,2010,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,ewg_oreo_winter_2010;oreo_original_chocolate_sandwich_cookies:ewg_oreo_winter_2010;https://www.ewg.org/foodscores/products/044000081034-OreoChocolateSandwichCookiesOriginalWinter/,"source receipt, hashes, OCR status, candidate text after review; no private image path and no external image embed","Private capture/crop exists, image-map key is populated, OCR can run, and source receipt remains public-safe.","Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear."
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,8,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,kroger_oreo_current,https://www.kroger.com/p/nabisco-original-oreos/0004400003202,www.kroger.com,"OREO Chocolate Sandwich Cookies, 14.3 oz - Kroger",panel_capture_needed,show_source_receipt_only,source_link_only_no_public_image,External source; current-web evidence needs durable capture.,110,current_2020s,2026,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,kroger_oreo_current;oreo_original_chocolate_sandwich_cookies:kroger_oreo_current;https://www.kroger.com/p/nabisco-original-oreos/0004400003202,"source receipt, hashes, OCR status, candidate text after review; no private image path and no external image embed","Private capture/crop exists, image-map key is populated, OCR can run, and source receipt remains public-safe.","Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear."
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,9,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,smartlabel_oreo_143,https://smartlabel.mondelez.info/00044000033262-0001-en-US/index.html,smartlabel.mondelez.info,Nabisco Oreo Sandwich Cookies 14.3 oz - SmartLabel,panel_capture_needed,show_source_receipt_only,source_link_only_no_public_image,External source; rights note needed before reproducing imagery.,110,current_2020s,2026,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,smartlabel_oreo_143;oreo_original_chocolate_sandwich_cookies:smartlabel_oreo_143;https://smartlabel.mondelez.info/00044000033262-0001-en-US/index.html,"source receipt, hashes, OCR status, candidate text after review; no private image path and no external image embed","Private capture/crop exists, image-map key is populated, OCR can run, and source receipt remains public-safe.","Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear."
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,10,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,walmart_oreo_current,https://business.walmart.com/ip/Oreo-Original-Cookie-13-29-oz/16255757318,business.walmart.com,Oreo Original Cookie 13.29 oz - Walmart Business,panel_capture_needed,show_source_receipt_only,source_link_only_no_public_image,External source; current-web evidence needs durable capture.,110,current_2020s,2026,panel_crop,"ingredient/nutrition panel crop, including serving size and net-weight if visible",ingredient_or_nutrition_panel,walmart_oreo_current;oreo_original_chocolate_sandwich_cookies:walmart_oreo_current;https://business.walmart.com/ip/Oreo-Original-Cookie-13-29-oz/16255757318,"source receipt, hashes, OCR status, candidate text after review; no private image path and no external image embed","Private capture/crop exists, image-map key is populated, OCR can run, and source receipt remains public-safe.","Capture a private ingredient/nutrition panel crop, run native OCR, and keep the public page link-only until rights are clear."
